DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_CRUZ ROJA 2020,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,
,,,,,,,,,
MES,DIA,HORA,O3 Horario,O3 Promedio de 8 hrs. ,SO2 promedio de 24 hrs.,CO Promedio de 8 hrs.,PM10 Promedio ponderado  de 12 hrs.,PM2.5 Promedio ponderado  de 12 hrs.,NO2 Horario
JUN,4,10,28.02,20.02,34.93,0.74,17.44,11,2.29
JUN,4,11,36.22,22.83,34.96,0.70,15.83,14,1.82
JUN,4,12,42.70,25.93,35.20,0.70,17.15,15,3.92
JUN,4,13,46.97,29.11,35.16,0.72,20.30,15,3.83
JUN,4,14,49.86,32.86,35.29,0.73,18.06,16,NA
JUN,4,15,52.77,37.40,35.28,0.72,16.13,13,NA
JUN,4,16,51.77,41.40,35.20,0.69,15.85,11,NA
JUN,4,17,51.14,44.93,35.14,0.68,17.52,11,NA
JUN,4,18,49.76,47.65,35.00,0.65,21.62,11,NA
JUN,4,19,45.31,48.79,34.99,0.60,21.05,9,NA
JUN,4,20,39.98,48.44,34.99,0.59,24.63,9,0.69
JUN,4,21,34.56,46.89,35.00,0.57,23.28,8,NA
JUN,4,22,25.09,43.80,34.95,0.63,23.36,8,NA
JUN,4,23,19.81,39.68,38.67,0.82,22.33,9,5.20
JUN,5,0,19.83,35.68,41.28,0.88,19.76,9,4.28
JUN,5,1,14.96,31.16,39.77,0.99,14.25,9,5.34
JUN,5,2,20.77,27.54,34.09,1.04,15.12,9,NA
JUN,5,3,21.09,24.51,33.57,1.09,13.60,9,NA
JUN,5,4,12.76,21.11,33.48,1.36,11.33,NA,2.87
JUN,5,5,21.52,19.48,33.73,1.40,11.38,NA,NA
JUN,5,6,19.17,18.74,33.72,1.34,11.61,NA,3.75
JUN,5,7,16.12,18.28,33.71,1.16,12.98,9,6.22
JUN,5,8,22.75,18.64,33.35,1.15,10.58,9,2.37
JUN,5,9,23.26,19.68,33.47,1.15,13.77,9,2.05
JUN,5,10,29.26,20.74,32.93,1.11,14.58,15,2.11
JUN,5,11,37.77,22.83,32.39,1.07,17.62,18,2.49
JUN,5,12,44.25,26.76,32.46,0.81,18.98,18,2.67
JUN,5,13,49.81,30.30,32.50,0.78,17.96,15,2.39
JUN,5,14,50.40,34.20,32.58,0.79,13.90,15,2.77
JUN,5,15,54.58,39.01,32.97,0.79,12.76,13,2.99
JUN,5,16,53.14,42.81,33.26,0.77,16.79,12,7.78
JUN,5,17,62.15,47.67,33.54,0.70,18.55,11,6.66
JUN,5,18,59.07,51.40,33.64,0.70,20.28,12,4.77
JUN,5,19,45.70,52.39,33.64,0.69,20.66,11,1.38
JUN,5,20,32.87,50.97,33.67,0.68,28.57,10,NA
JUN,5,21,20.86,47.35,35.23,0.90,40.34,11,NA
JUN,5,22,24.02,44.05,35.24,0.93,36.24,12,3.38
JUN,5,23,22.01,39.98,29.20,0.96,27.44,11,3.78
JUN,6,0,20.20,35.86,25.40,0.94,25.15,10,4.50
JUN,6,1,18.67,30.42,28.62,0.93,24.51,11,2.59
JUN,6,2,17.14,25.18,36.78,0.92,24.83,12,4.93
JUN,6,3,16.00,21.47,39.64,0.97,25.98,17,4.96
JUN,6,4,19.45,19.79,38.74,0.97,20.27,17,NA
JUN,6,5,20.55,19.75,38.49,0.74,16.07,15,0.85
JUN,6,6,20.65,19.33,38.47,0.69,13.06,11,1.36
JUN,6,7,20.43,19.14,38.85,0.68,15.45,9,8.28
JUN,6,8,9.96,17.86,39.70,0.69,22.06,15,9.93
JUN,6,9,14.38,17.32,40.20,0.68,32.07,20,6.12
JUN,6,10,28.08,18.69,39.96,0.68,32.16,26,3.78
JUN,6,11,42.61,22.01,39.79,0.65,35.12,24,4.17
JUN,6,12,51.51,26.02,39.87,0.66,31.82,22,4.27
JUN,6,13,58.27,30.74,40.16,0.70,32.32,23,7.25
JUN,6,14,63.23,36.06,40.46,0.74,32.40,22,6.91
JUN,6,15,68.21,42.03,40.50,0.76,30.88,21,7.74
JUN,6,16,61.38,48.46,40.47,0.77,30.65,22,5.67
JUN,6,17,63.07,54.55,40.29,0.76,24.55,21,3.45
JUN,6,18,64.51,59.10,40.15,0.77,29.93,17,5.25
JUN,6,19,57.94,61.01,41.50,0.83,NA,17,3.00
JUN,6,20,48.32,60.62,42.10,0.84,NA,18,5.42
JUN,6,21,34.59,57.66,40.83,0.85,NA,17,9.54
JUN,6,22,NA,56.86,40.55,0.83,NA,NA,4.24
JUN,6,23,NA,54.97,41.61,0.82,NA,NA,NA
JUN,7,0,34.75,50.53,39.86,0.81,NA,NA,1.53
