DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_CRUZ ROJA 2020,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,
,,,,,,,,,,
MES,DIA,HORA,O3 Horario,O3 Promedio de 8 hrs. ,SO2 promedio de 24 hrs.,CO Promedio de 8 hrs.,PM10 Promedio ponderado  de 12 hrs.,PM2.5 Promedio ponderado  de 12 hrs.,NO2 Horario,
AGO,6,4,7.45,8.42,28.29,0.67,35,26,8.76,
AGO,6,5,4.96,7.35,29.05,0.64,37,25,6.08,
AGO,6,6,9.51,6.97,29.18,0.65,24,21,7,
AGO,6,7,5.44,6.06,30.14,0.66,27,17,12.18,
AGO,6,8,5.67,6.07,33.19,0.71,32,23,10.26,
AGO,6,9,6.64,6.29,33.9,0.73,28,29,3.75,
AGO,6,10,14.07,7.41,34,0.71,26,22,4.4,
AGO,6,11,22.47,9.53,33.51,0.74,26,23,3.24,
AGO,6,12,27.81,12.07,34.34,0.75,25,22,2.26,
AGO,6,13,31.87,15.43,35.21,0.76,24,21,3.06,
AGO,6,14,32.88,18.36,35.66,0.76,24,22,2.47,
AGO,6,15,33.39,21.85,35.7,0.74,20,21,3.02,
AGO,6,16,34.05,25.4,35.76,0.73,18,17,2.48,
AGO,6,17,35.22,28.97,35.27,0.71,19,16,2.76,
AGO,6,18,31.68,31.17,34.9,0.71,25,18,5.33,
AGO,6,19,19.06,30.75,34.02,0.71,24,17,9.16,
AGO,6,20,14.58,29.09,33.89,0.73,24,16,10.02,
AGO,6,21,15.73,27.08,33.77,0.71,20,13,4.25,
AGO,6,22,17.34,25.13,33.72,0.69,18,11,1.47,
AGO,6,23,10.8,22.31,36.1,0.84,20,10,8.11,
AGO,7,0,5.84,18.78,37.1,0.84,22,13,10.78,
AGO,7,1,4.32,14.92,41.42,0.89,30,27,9.04,
AGO,7,2,5.42,11.64,41.28,0.91,28,26,8.77,
AGO,7,3,8.83,10.36,38.85,0.89,19,19,6.28,
AGO,7,4,6.51,9.35,37.61,0.87,17,15,7.13,
AGO,7,5,14.69,9.22,36.78,0.87,14,13,1.79,
AGO,7,6,17.1,9.19,36.54,0.88,12,12,0.84,
AGO,7,7,9.56,9.03,35.73,0.73,13,11,8.38,
AGO,7,8,2.78,8.65,34.79,0.79,25,16,11.69,
AGO,7,9,10.6,9.44,34.19,0.80,30,21,4.63,
AGO,7,10,21,11.39,33.94,0.79,22,16,0.87,
AGO,7,11,24.74,13.37,33.59,0.80,18,14,NA,
AGO,7,12,28.88,16.17,33.24,0.81,17,13,NA,
AGO,7,13,31.19,18.23,32.93,0.86,16,15,1.69,
AGO,7,14,29.11,19.73,33.63,0.86,14,12,1.94,
AGO,7,15,32.89,22.65,34.01,0.84,15,15,2.63,
AGO,7,16,32.88,26.41,34.62,0.76,21,16,3.35,
AGO,7,17,29.43,28.76,35.02,0.75,20,16,2.73,
