DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_CRUZ ROJA 2020,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,
,,,,,,,,,
MES,DIA,HORA,O3 Horario (ppm),O3 Promedio de 8 hrs.  (ppm),SO2 promedio de 24 hrs. (ppm),CO Promedio de 8 hrs. (ppm),PM10 Promedio ponderado  de 12 hrs. (µg/m³),PM2.5 Promedio ponderado  de 12 hrs. (µg/m³),NO2 Horario (ppm)
SEP,11,9,0.0207,0.016,NA,NA,23,21,0.0067
SEP,11,10,0.0275,0.017,NA,NA,17,17,0.0043
SEP,11,11,0.0305,0.0186,NA,NA,16,14,0.0055
SEP,11,12,0.0341,0.021,NA,NA,17,15,0.0098
SEP,11,13,0.0422,0.0244,NA,NA,21,15,0.0063
SEP,11,14,0.0464,0.0284,NA,NA,16,15,0.0055
SEP,11,15,0.0482,0.0327,NA,NA,14,14,0.0048
SEP,11,16,0.0435,0.0366,NA,NA,12,12,0.004
SEP,11,17,0.0416,0.0392,NA,NA,9,10,0.0036
SEP,11,18,0.0403,0.0408,NA,NA,12,8,0.0042
SEP,11,19,0.038,0.0418,NA,NA,11,8,0.0055
SEP,11,20,0.0311,0.0414,NA,NA,10,8,0.0071
SEP,11,21,0.0284,0.0397,NA,NA,16,9,NA
SEP,11,22,0.0268,0.0372,NA,NA,12,12,NA
SEP,11,23,0.0226,0.034,0.0299,NA,13,10,NA
SEP,12,0,0.0194,0.031,0.0307,NA,14,9,0.008
SEP,12,1,0.0196,0.0283,0.0277,NA,13,13,0.0084
SEP,12,2,0.0208,0.0258,0.0296,NA,14,13,NA
SEP,12,3,0.0208,0.0237,0.0356,NA,13,13,0.0068
SEP,12,4,0.0196,0.0223,0.0382,NA,17,12,NA
SEP,12,5,0.0216,0.0214,0.0383,NA,16,14,NA
SEP,12,6,0.0191,0.0204,0.0376,NA,12,12,NA
SEP,12,7,0.016,0.0196,0.0383,NA,15,12,0.0105
SEP,12,8,0.0181,0.0194,0.0382,NA,14,16,0.0093
SEP,12,9,0.0311,0.0209,0.0381,NA,10,15,0.0043
SEP,12,10,0.0356,0.0227,0.0394,NA,8,13,0.0037
SEP,12,11,0.0382,0.0249,0.039,NA,10,9,0.004
SEP,12,12,0.0385,0.0273,0.0386,NA,12,8,0.0083
SEP,12,13,0.043,0.0299,0.0375,NA,15,14,0.0086
SEP,12,14,0.0525,0.0341,0.0371,NA,20,17,0.0097
SEP,12,15,0.062,0.0399,0.0384,NA,23,21,0.0096
SEP,12,16,0.0682,0.0461,0.0374,NA,33,29,0.0098
SEP,12,17,0.0504,0.0485,0.0374,NA,30,30,0.007
SEP,12,18,0.0452,0.0497,0.0374,NA,18,21,0.0085
SEP,12,19,0.0365,0.0495,0.0374,NA,21,16,0.0116
SEP,12,20,0.0276,0.0482,0.039,NA,18,14,0.0097
SEP,12,21,0.0314,0.0467,0.0404,NA,20,12,0.0117
SEP,12,22,0.0267,0.0435,0.0404,NA,19,16,0.011
SEP,12,23,0.0257,0.039,NA,NA,16,12,0.0104
SEP,13,0,0.0234,0.0334,NA,NA,15,11,0.0092
SEP,13,1,0.0211,0.0297,NA,NA,18,14,NA
SEP,13,2,0.0301,0.0278,NA,NA,15,13,NA
SEP,13,3,0.0218,0.026,NA,NA,14,11,0.008
SEP,13,4,0.015,0.0244,NA,NA,15,13,0.0101
SEP,13,5,0.0165,0.0225,NA,NA,14,14,NA
SEP,13,6,0.0159,0.0212,NA,NA,10,11,0.0078
SEP,13,7,0.0127,0.0196,NA,NA,9,9,0.0107
SEP,13,8,0.0153,0.0186,NA,NA,11,9,0.0096
