DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_NATIVITAS 2021,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,
,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³]
MARZO,14,16,0.0446,0.0394,0.0072,0.976,42
MARZO,14,17,0.0412,0.0423,0.0072,0.938,43
MARZO,14,18,0.0426,0.0437,0.0071,0.928,42
MARZO,14,19,0.0365,0.0432,0.0071,0.929,46
MARZO,14,20,0.0282,0.0414,0.0071,0.949,49
MARZO,14,21,0.0243,0.0388,0.007,0.98,57
MARZO,14,22,0.0228,0.0359,0.007,1.004,63
MARZO,14,23,0.0299,0.0338,0.007,1.013,64
MARZO,15,0,0.0291,0.0318,0.007,1.012,59
MARZO,15,1,0.0254,0.0299,0.0069,1.019,54
MARZO,15,2,0.0231,0.0274,0.0069,1.024,49
MARZO,15,3,0.0215,0.0255,0.0069,1.019,46
MARZO,15,4,0.0224,0.0248,0.0069,0.997,46
MARZO,15,5,0.0232,0.0247,0.0069,0.971,45
MARZO,15,6,0.0191,0.0242,0.0069,0.962,52
MARZO,15,7,0.0122,0.022,0.0069,0.991,61
MARZO,15,8,0.0067,0.0192,0.007,1.056,78
MARZO,15,9,0.0166,0.0181,0.007,1.097,86
MARZO,15,10,0.0308,0.0191,0.007,1.114,82
MARZO,15,11,0.0369,0.021,0.007,1.129,70
MARZO,15,12,0.0411,0.0233,0.0071,1.142,59
MARZO,15,13,0.0437,0.0259,0.0071,1.143,55
MARZO,15,14,0.0429,0.0289,0.0072,1.129,50
MARZO,15,15,0.0447,0.0329,0.0072,1.086,43
MARZO,15,16,0.0444,0.0376,0.0073,1.017,55
MARZO,15,17,0.0446,0.0411,0.0073,0.972,48
MARZO,15,18,0.0421,0.0426,0.0073,0.951,44
MARZO,15,19,0.0407,0.043,0.0074,0.949,46
MARZO,15,20,0.0272,0.0413,0.0074,0.966,62
MARZO,15,21,0.0216,0.0385,0.0075,0.998,66
MARZO,15,22,0.0239,0.0361,0.0075,1.013,72
MARZO,15,23,0.0257,0.0338,0.0076,1.017,60
MARZO,16,0,0.0216,0.0309,0.0076,1.017,51
MARZO,16,1,0.0164,0.0274,0.0076,1.018,48
MARZO,16,2,0.0124,0.0237,0.0076,1.027,45
MARZO,16,3,0.0107,0.0199,0.0076,1.019,42
MARZO,16,4,0.0127,0.0181,0.0076,0.993,41
MARZO,16,5,0.0152,0.0173,0.0075,0.955,39
MARZO,16,6,0.0141,0.0161,0.0075,0.947,39
MARZO,16,7,0.009,0.014,0.0074,0.97,46
MARZO,16,8,0.0051,0.0119,0.0074,1.061,55
MARZO,16,9,0.0096,0.0111,0.0074,1.13,65
MARZO,16,10,0.0272,0.0129,0.0074,1.139,78
MARZO,16,11,0.0403,0.0166,0.0073,1.133,64
MARZO,16,12,0.0414,0.0202,0.0073,1.133,52
MARZO,16,13,0.0423,0.0236,0.0072,1.133,50
MARZO,16,14,0.0419,0.0271,0.0071,1.12,43
MARZO,16,15,0.0409,0.0311,0.0071,1.088,45
MARZO,16,16,0.0431,0.0358,0.007,0.999,43
MARZO,16,17,0.0449,0.0402,0.0069,0.929,42
MARZO,16,18,0.0455,0.0425,0.0069,0.912,48
MARZO,16,19,0.0392,0.0424,0.0068,0.921,51
MARZO,16,20,0.0284,0.0408,0.0068,0.936,63
MARZO,16,21,0.0285,0.039,0.0067,0.943,69
MARZO,16,22,0.0259,0.037,0.0066,0.952,85
MARZO,16,23,0.0255,0.0351,0.0066,0.965,74
MARZO,17,0,0.0226,0.0326,0.0065,0.968,62
MARZO,17,1,0.0199,0.0294,0.0065,0.969,52
MARZO,17,2,0.0225,0.0266,0.0065,0.967,45
MARZO,17,3,0.0216,0.0244,0.0065,0.956,43
MARZO,17,4,0.0208,0.0234,0.0065,0.939,39
MARZO,17,5,0.0187,0.0222,0.0065,0.933,39
MARZO,17,6,0.0149,0.0208,0.0065,0.934,40
MARZO,17,7,0.0058,0.0183,0.0066,0.959,44
MARZO,17,8,0.0109,0.0169,0.0066,0.99,54
MARZO,17,9,0.0172,0.0165,0.0065,1.015,59
MARZO,17,10,0.028,0.0172,0.0065,1.028,58
MARZO,17,11,0.0342,0.0188,0.0065,1.028,50
MARZO,17,12,0.0403,0.0212,0.0065,1.026,38
MARZO,17,13,0.0451,0.0245,0.0066,1.021,32
MARZO,17,14,0.0453,0.0283,0.0066,1.009,28
MARZO,17,15,0.0441,0.0331,0.0066,0.97,27
MARZO,17,16,0.0439,0.0372,0.0067,0.928,28
MARZO,17,17,0.0439,0.0406,0.0067,0.888,28
