DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_NATIVITAS 2021,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,
,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³]
MAYO,8,23,0.0290,0.0387,0.0105,1.531,56
MAYO,9,0,0.0292,0.0354,0.0103,1.550,58
MAYO,9,1,0.0272,0.0329,0.0101,1.551,59
MAYO,9,2,0.0232,0.0304,0.0101,1.545,60
MAYO,9,3,0.0226,0.0287,0.0101,1.530,58
MAYO,9,4,0.0223,0.0271,0.0101,1.506,64
MAYO,9,5,0.0214,0.0258,0.0101,1.473,58
MAYO,9,6,0.0171,0.0240,0.0101,1.450,55
MAYO,9,7,0.0141,0.0222,0.0101,1.452,55
MAYO,9,8,0.0183,0.0208,0.0101,1.448,58
MAYO,9,9,0.0234,0.0203,0.0100,1.446,55
MAYO,9,10,0.0291,0.0210,0.0100,1.449,54
MAYO,9,11,0.0365,0.0228,0.0100,1.451,52
MAYO,9,12,0.0410,0.0251,0.0096,1.460,51
MAYO,9,13,0.0448,0.0280,0.0087,1.466,46
MAYO,9,14,0.0489,0.0320,0.0082,1.456,45
MAYO,9,15,0.0522,0.0368,0.0080,1.421,39
MAYO,9,16,0.0545,0.0413,0.0078,1.410,36
MAYO,9,17,0.0491,0.0445,0.0075,1.415,53
MAYO,9,18,0.0398,0.0459,0.0074,1.418,87
MAYO,9,19,0.0380,0.0460,0.0073,1.427,69
MAYO,9,20,0.0359,0.0454,0.0074,1.430,53
MAYO,9,21,0.0304,0.0436,0.0075,1.430,46
MAYO,9,22,0.0344,0.0418,0.0076,1.423,36
MAYO,9,23,0.0376,0.0400,0.0076,1.417,28
MAYO,10,0,0.0341,0.0374,0.0076,1.409,22
MAYO,10,1,0.0285,0.0348,0.0076,1.388,19
MAYO,10,2,0.0244,0.0329,0.0076,1.368,17
MAYO,10,3,0.0226,0.0310,0.0077,1.347,21
MAYO,10,4,0.0224,0.0293,0.0080,1.325,24
