DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_NATIVITAS 2020,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,
,,,,,,,
MES,DIA,HORA,O3 Horario,O3 Promedio de 8 hrs. ,SO2 promedio de 24 hrs.,CO Promedio de 8 hrs.,PM10 Promedio ponderado  de 12 hrs.
ABRIL,3,1,26.780017,40.122742,3.730786,0.546457,47.2486
ABRIL,3,2,28.152967,36.085492,3.610752,0.551669,42.8297
ABRIL,3,3,28.983883,32.708342,3.625395,0.552918,36.3269
ABRIL,3,4,24.377417,30.330804,3.593087,0.53333,33.4001
ABRIL,3,5,25.160033,29.036488,3.595292,0.525891,31.8005
ABRIL,3,6,23.119067,27.064433,3.622325,0.538753,38.8485
ABRIL,3,7,12.549132,24.599987,3.655259,0.564403,42.6904
ABRIL,3,8,8.018077,22.142574,3.70668,0.60568,45.0338
ABRIL,3,9,19.14085,21.187678,3.727819,0.631129,46.7506
ABRIL,3,10,37.123367,22.308978,3.737155,0.648142,41.1714
ABRIL,3,11,NA,21.35542,3.748809,0.669063,41.1657
ABRIL,3,12,NA,20.851754,3.778801,0.690444,NA
ABRIL,3,13,29.333292,21.547298,3.858776,0.826727,NA
ABRIL,3,14,52.743617,26.484723,4.010802,0.840993,5.3372
ABRIL,3,15,53.041333,33.233423,4.143407,0.826534,2.6984
ABRIL,3,16,54.471467,40.975654,4.295169,0.783388,3.5841
ABRIL,3,17,58.65545,47.561421,4.451911,0.751594,5.0767
ABRIL,3,18,58.282833,51.087999,4.598542,0.737597,15.7432
ABRIL,3,19,51.9428,51.210113,4.742809,0.70864,40.6981
ABRIL,3,20,43.79245,50.282905,4.876119,0.69423,51.0561
ABRIL,3,21,36.211067,51.142627,4.983566,0.599879,62.0811
ABRIL,3,22,34.31415,48.838944,5.092298,0.589096,79.0293
ABRIL,3,23,30.8383,46.063565,5.19521,0.585249,62.8807
ABRIL,4,0,30.558917,43.074496,5.298897,0.584742,45.9777
ABRIL,4,1,31.62555,39.695758,5.363713,0.589974,39.0996
ABRIL,4,2,26.332617,35.701981,5.374213,0.594641,33.3501
ABRIL,4,3,32.163317,33.229546,5.383263,0.598239,30.4417
ABRIL,4,4,28.797,31.355115,5.411345,0.596243,28.5532
ABRIL,4,5,26.42565,30.131938,5.428876,0.592626,29.5396
ABRIL,4,6,24.636433,28.922223,5.434978,0.597911,30.5251
ABRIL,4,7,15.974967,27.064306,5.455154,0.615713,41.574
ABRIL,4,8,22.321667,26.03465,5.434664,0.639502,41.7477
ABRIL,4,9,30.10885,25.845063,5.449493,0.660032,40.0133
