DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_NATIVITAS 2020,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,
,,,,,,,,
MES,DIA,HORA,O3 Horario,O3 Promedio de 8 hrs. ,SO2 promedio de 24 hrs.,CO Promedio de 8 hrs.,PM10 Promedio ponderado  de 12 hrs.,NO2 Horario
AGO,12,16,49.01,32.55,4.74,2.47,24,9.45
AGO,12,17,NA,35.11,4.76,2.47,24,NA
AGO,12,18,NA,37.89,4.76,2.46,NA,NA
AGO,12,19,NA,NA,4.68,NA,NA,NA
AGO,12,20,NA,NA,4.45,NA,NA,NA
AGO,12,21,NA,NA,4.28,NA,NA,NA
AGO,12,22,16.93,NA,4.25,NA,NA,NA
AGO,12,23,20.08,NA,4.25,NA,NA,12.98
AGO,13,0,23.47,NA,4.25,NA,NA,10.84
AGO,13,1,22.26,NA,4.22,NA,NA,10.58
AGO,13,2,24.43,NA,NA,NA,NA,NA
AGO,13,3,26.89,22.34,NA,2.61,NA,10.49
AGO,13,4,20.07,22.02,NA,2.61,NA,NA
AGO,13,5,12.86,20.87,NA,2.60,NA,13.79
AGO,13,6,5.27,19.42,NA,2.57,NA,17.57
AGO,13,7,5.76,17.63,NA,2.58,10,20.34
AGO,13,8,6.66,15.53,NA,2.61,13,17.28
AGO,13,9,10.48,14.05,NA,2.64,17,12.67
AGO,13,10,20.12,13.52,NA,2.65,24,12.69
AGO,13,11,28.82,13.76,NA,2.66,23,NA
AGO,13,12,39.33,16.16,NA,2.64,22,NA
AGO,13,13,52.43,21.11,NA,2.62,26,NA
AGO,13,14,56.32,27.49,NA,2.60,25,NA
AGO,13,15,48.74,32.86,NA,2.57,24,NA
AGO,13,16,43.32,37.45,NA,2.54,19,NA
AGO,13,17,32.12,40.15,NA,2.51,16,NA
AGO,13,18,32.80,41.73,NA,2.52,17,NA
AGO,13,19,29.77,41.85,NA,2.52,20,NA
AGO,13,20,17.04,39.07,NA,2.57,22,NA
AGO,13,21,17.44,34.69,NA,2.60,26,NA
AGO,13,22,15.80,29.63,NA,2.61,24,NA
AGO,13,23,18.41,25.84,NA,2.62,21,NA
AGO,14,0,8.33,21.46,NA,2.63,21,NA
AGO,14,1,2.32,17.74,NA,2.63,25,NA
AGO,14,2,1.68,13.85,NA,2.63,27,NA
AGO,14,3,0.85,10.23,NA,2.62,32,NA
AGO,14,4,NA,9.26,NA,2.59,36,NA
AGO,14,5,NA,7.90,NA,2.57,36,NA
AGO,14,6,1.24,5.47,2.94,2.57,33,NA
AGO,14,7,1.40,2.64,3.17,2.60,36,NA
AGO,14,8,3.46,1.82,3.47,2.63,51,NA
AGO,14,9,8.96,2.93,3.57,2.64,49,NA
AGO,14,10,22.87,6.46,3.56,2.63,37,NA
AGO,14,11,28.59,11.09,3.52,2.64,28,NA
AGO,14,12,33.20,14.25,3.47,2.64,22,NA
AGO,14,13,38.19,17.24,3.37,2.64,21,NA
AGO,14,14,44.05,22.59,3.37,2.62,18,NA
AGO,14,15,50.14,28.68,3.41,2.59,18,NA
AGO,14,16,53.23,34.90,3.83,2.58,21,NA
AGO,14,17,52.98,40.40,4.19,2.58,25,NA
AGO,14,18,50.92,43.91,4.26,2.59,21,NA
AGO,14,19,52.58,46.91,4.33,2.61,39,NA
AGO,14,20,39.39,47.68,4.39,2.64,46,NA
AGO,14,21,25.69,46.12,4.55,2.66,42,NA
AGO,14,22,25.10,43.75,4.89,2.67,39,NA
AGO,14,23,15.20,39.39,5.28,2.68,35,NA
AGO,15,0,22.44,35.54,5.40,2.65,29,NA
AGO,15,1,23.61,31.87,5.44,2.63,25,NA
AGO,15,2,18.70,27.84,5.39,2.61,21,NA
AGO,15,3,15.47,23.20,5.07,2.58,21,NA
AGO,15,4,24.28,21.31,4.99,2.54,20,NA
AGO,15,5,17.07,20.23,4.93,2.51,19,NA
AGO,15,6,3.16,17.49,4.89,2.52,22,NA
AGO,15,7,NA,17.82,4.79,2.53,32,NA
AGO,15,8,2.18,14.92,4.65,2.56,38,NA
AGO,15,9,7.88,12.68,4.66,2.58,40,NA
AGO,15,10,23.40,13.35,4.68,2.60,35,NA
AGO,15,11,32.14,15.73,4.71,2.61,28,NA
AGO,15,12,35.46,17.33,4.73,2.62,24,NA
AGO,15,13,40.41,20.66,4.77,2.63,33,NA
AGO,15,14,44.40,26.55,4.80,2.62,26,NA
AGO,15,15,50.30,29.52,4.83,2.60,22,NA
AGO,15,16,56.34,36.29,4.50,2.58,22,NA
