DATOS HORARIOS 2022_DIF,,,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],CO [ppm],NO2 [ppm],PM10 [µg/m³],PM2.5 [µg/m³],TEMP,WS,WD,HR,PBAR,UV
DICIEMBRE,8,9,0.010,0.008,1.94,0.018,53,NA,12.73,3.02,87.19,70.94,626.20,0.56
DICIEMBRE,8,10,0.018,0.008,1.78,0.013,71,NA,14.56,4.20,93.52,62.11,626.37,1.32
DICIEMBRE,8,11,0.023,0.008,1.79,0.011,63,NA,16.62,4.18,90.77,54.02,626.18,2.20
DICIEMBRE,8,12,0.028,0.008,1.72,0.010,67,NA,18.68,3.60,98.24,46.29,625.60,2.91
DICIEMBRE,8,13,0.034,0.008,1.83,0.011,54,NA,20.89,3.18,95.49,39.18,624.74,3.21
DICIEMBRE,8,14,0.041,0.023,1.73,0.010,57,NA,23.35,2.02,117.05,28.45,623.80,3.02
DICIEMBRE,8,15,0.048,0.063,1.86,0.010,48,NA,24.64,1.84,171.30,23.69,623.05,2.20
DICIEMBRE,8,16,0.052,0.047,1.71,0.009,53,NA,25.65,1.46,181.15,21.79,622.55,1.34
DICIEMBRE,8,17,0.053,0.023,1.65,0.008,59,NA,25.60,1.63,198.18,19.03,622.25,0.56
DICIEMBRE,8,18,0.037,0.010,1.89,0.015,55,NA,24.39,1.87,183.51,18.10,622.34,NA
DICIEMBRE,8,19,0.011,0.010,2.57,0.033,69,NA,21.89,1.23,242.81,21.79,622.67,NA
DICIEMBRE,8,20,0.004,0.012,4.35,0.081,146,NA,19.95,0.80,228.93,27.31,623.01,NA
DICIEMBRE,8,21,0.008,0.011,3.40,0.057,231,NA,18.89,2.03,129.57,30.29,623.35,NA
DICIEMBRE,8,22,0.012,0.011,1.83,0.015,144,NA,17.99,3.24,71.43,40.58,623.82,NA
DICIEMBRE,8,23,0.014,0.009,1.72,0.011,73,NA,16.38,3.59,87.11,50.84,624.10,NA
DICIEMBRE,9,0,0.017,0.008,1.56,0.008,54,NA,15.51,3.21,81.80,57.21,624.30,NA
DICIEMBRE,9,1,0.020,0.009,1.51,0.007,41,NA,14.99,2.98,85.78,60.96,624.24,NA
DICIEMBRE,9,2,0.019,0.008,1.51,0.006,36,NA,14.16,3.15,96.62,65.69,624.04,NA
DICIEMBRE,9,3,0.019,0.008,1.49,0.006,27,NA,13.43,3.21,83.55,69.50,623.88,NA
DICIEMBRE,9,4,0.016,0.007,1.49,0.007,29,NA,12.85,2.05,90.94,72.50,623.79,NA
DICIEMBRE,9,5,0.012,0.007,1.52,0.009,27,NA,11.85,1.91,89.29,77.01,623.76,NA
DICIEMBRE,9,6,0.009,0.007,1.57,0.010,35,NA,11.18,2.28,88.22,80.35,623.76,NA
DICIEMBRE,9,7,0.004,0.007,1.91,0.020,41,NA,10.90,2.27,94.81,81.57,623.93,NA
DICIEMBRE,9,8,0.006,0.007,2.06,0.021,50,NA,10.82,2.81,98.43,81.88,624.25,NA
DICIEMBRE,9,9,0.008,0.007,2.08,0.022,56,NA,12.56,3.13,92.49,76.07,624.73,0.54
DICIEMBRE,9,10,0.021,0.007,1.74,0.010,73,NA,15.48,4.71,82.33,66.56,625.06,1.28
DICIEMBRE,9,11,0.025,0.007,1.73,0.010,67,NA,17.08,3.71,79.15,60.57,625.02,2.16
DICIEMBRE,9,12,0.030,0.007,1.78,0.010,59,NA,19.13,2.95,90.53,52.36,624.43,2.84
DICIEMBRE,9,13,0.033,0.008,1.84,0.011,50,NA,21.22,2.51,106.48,43.96,623.63,3.05
DICIEMBRE,9,14,0.040,0.016,1.86,0.009,58,NA,23.54,1.83,134.84,37.50,622.71,2.85
DICIEMBRE,9,15,0.048,0.027,1.89,0.010,61,NA,24.39,2.00,148.62,34.23,621.91,2.18
DICIEMBRE,9,16,0.053,0.034,1.99,0.009,62,NA,25.63,1.81,193.17,29.80,621.45,1.33
DICIEMBRE,9,17,0.055,0.021,1.70,0.008,62,NA,25.52,1.72,242.61,28.37,621.30,0.54
DICIEMBRE,9,18,0.052,0.014,1.70,0.009,54,NA,23.93,1.85,273.91,29.18,621.34,NA
DICIEMBRE,9,19,0.027,0.009,2.03,0.020,69,NA,21.74,1.80,268.54,32.51,621.55,NA
DICIEMBRE,9,20,0.009,0.009,2.56,0.032,113,NA,19.67,1.00,252.44,35.83,621.91,NA
DICIEMBRE,9,21,0.005,0.009,2.91,0.046,110,NA,18.66,1.07,173.60,37.41,622.30,NA
DICIEMBRE,9,22,0.009,0.013,2.15,0.021,136,NA,18.78,2.32,70.74,40.32,622.83,NA
DICIEMBRE,9,23,0.008,0.010,1.82,0.014,69,NA,16.93,2.85,85.15,50.09,623.18,NA
DICIEMBRE,10,0,0.007,0.008,1.67,0.012,69,NA,15.79,3.14,84.80,56.42,623.25,NA
DICIEMBRE,10,1,0.013,0.008,1.59,0.009,49,NA,15.06,2.65,91.02,57.97,623.27,NA
DICIEMBRE,10,2,0.011,0.007,1.59,0.009,35,NA,14.36,2.01,112.78,62.39,623.14,NA
DICIEMBRE,10,3,0.013,0.007,1.54,0.007,29,NA,13.49,2.04,109.95,67.04,623.12,NA
DICIEMBRE,10,4,0.009,0.007,1.55,0.009,37,NA,12.67,2.51,99.82,71.16,622.97,NA
DICIEMBRE,10,5,0.008,0.007,1.58,0.011,27,NA,12.22,2.49,103.16,74.07,622.91,NA
DICIEMBRE,10,6,0.005,0.007,1.65,0.012,32,NA,11.73,2.07,97.25,78.12,623.03,NA
DICIEMBRE,10,7,0.003,0.007,1.96,0.021,36,NA,10.99,1.59,90.01,80.82,623.28,NA
DICIEMBRE,10,8,0.005,0.008,2.17,0.027,56,NA,10.75,1.62,99.62,81.82,623.72,0.10
