DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_NATIVITAS 2022,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,
,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],NO2 Horario [ppm]
ABRIL,4,22,0.037,0.053,0.003,0.97,75,0.006
ABRIL,4,23,0.030,0.049,0.003,0.97,52,0.009
ABRIL,5,0,0.029,0.045,0.003,0.97,45,0.008
ABRIL,5,1,0.025,0.040,0.003,0.96,42,0.011
ABRIL,5,2,0.024,0.036,0.003,0.96,43,0.011
ABRIL,5,3,0.027,0.033,0.003,0.95,35,0.007
ABRIL,5,4,0.025,0.030,0.003,0.93,34,0.008
ABRIL,5,5,0.026,0.028,0.003,0.92,31,0.008
ABRIL,5,6,0.013,0.025,0.003,0.94,33,0.019
ABRIL,5,7,0.019,0.023,0.004,1.06,51,0.028
ABRIL,5,8,0.011,0.021,0.003,1.15,86,0.029
ABRIL,5,9,0.018,0.020,0.003,1.21,97,0.024
ABRIL,5,10,0.033,0.021,0.003,1.23,79,0.015
ABRIL,5,11,0.047,0.024,0.003,1.24,67,0.007
ABRIL,5,12,0.052,0.027,0.003,1.25,53,0.006
ABRIL,5,13,0.056,0.031,0.003,1.26,43,0.006
ABRIL,5,14,0.058,0.037,0.003,1.23,NA,0.006
ABRIL,5,15,0.058,0.042,0.003,1.12,NA,0.005
ABRIL,5,16,0.059,0.048,0.003,1.03,NA,0.006
ABRIL,5,17,0.060,0.053,0.003,0.97,NA,0.006
ABRIL,5,18,0.061,0.057,0.003,0.96,NA,0.007
ABRIL,5,19,0.053,0.057,0.003,0.97,NA,0.011
ABRIL,5,20,0.036,0.055,0.003,1.00,NA,0.017
ABRIL,5,21,0.036,0.053,0.003,1.02,NA,0.016
ABRIL,5,22,0.038,0.050,0.003,1.02,NA,0.007
ABRIL,5,23,0.037,0.048,0.003,1.02,NA,0.005
ABRIL,6,0,0.033,0.044,0.003,1.02,NA,0.006
ABRIL,6,1,0.026,0.040,0.003,1.02,NA,0.012
ABRIL,6,2,0.025,0.036,0.003,1.02,47,0.016
ABRIL,6,3,0.025,0.032,0.003,1.01,40,0.016
ABRIL,6,4,0.023,0.030,0.003,0.98,40,0.016
ABRIL,6,5,0.021,0.029,0.003,0.96,41,0.014
ABRIL,6,6,0.013,0.025,0.003,0.99,42,0.022
ABRIL,6,7,0.017,0.023,0.003,1.07,52,0.029
ABRIL,6,8,0.023,0.022,0.003,1.20,85,0.035
ABRIL,6,9,0.017,0.021,0.003,1.29,93,0.029
ABRIL,6,10,0.037,0.022,0.003,1.30,79,0.013
ABRIL,6,11,0.052,0.025,0.003,1.30,63,0.006
ABRIL,6,12,0.055,0.030,0.003,1.30,50,0.006
ABRIL,6,13,0.056,0.034,0.003,1.31,39,0.007
ABRIL,6,14,0.062,0.040,0.003,1.27,33,0.006
ABRIL,6,15,0.064,0.046,0.003,1.19,32,0.005
ABRIL,6,16,0.055,0.050,0.003,1.06,27,0.005
ABRIL,6,17,0.054,0.054,0.003,0.97,22,0.005
ABRIL,6,18,0.053,0.056,0.003,0.96,20,0.009
ABRIL,6,19,0.046,0.056,0.003,0.98,17,0.015
ABRIL,6,20,0.070,0.057,0.003,1.05,33,0.035
ABRIL,6,21,0.076,0.060,0.003,1.20,80,0.045
ABRIL,6,22,NA,NA,0.003,1.37,133,0.046
ABRIL,6,23,NA,NA,0.004,1.44,126,0.037
ABRIL,7,0,0.014,NA,0.004,1.48,103,0.033
ABRIL,7,1,0.014,NA,0.004,1.51,86,0.035
ABRIL,7,2,0.046,NA,0.004,1.53,70,0.034
ABRIL,7,3,0.029,NA,0.004,1.52,68,0.024
ABRIL,7,4,0.020,NA,0.004,1.44,64,0.018
