DATOS HORARIOS 2023_NATIVITAS,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,
,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],NO2 [ppm],CO [ppm],PM10 [µg/m³],TEMP,WS,WD,HR
ABRIL,9,12,0.055,0.020,0.004,1.57,55,26.07,2.317005,225.56,NA
ABRIL,9,13,0.054,0.012,0.003,1.38,45,26.89,2.506565,229.82,NA
ABRIL,9,14,0.055,0.008,0.004,1.38,40,28.04,2.644352,237.47,NA
ABRIL,9,15,0.051,0.007,0.003,1.36,36,28.72,2.869868,249.82,NA
ABRIL,9,16,0.050,0.006,0.003,1.33,46,29.12,2.848307,256.54,NA
ABRIL,9,17,0.047,0.006,0.003,1.32,38,29.09,2.625117,255.58,NA
ABRIL,9,18,0.047,0.006,0.003,1.29,39,27.93,2.595523,282.11,NA
ABRIL,9,19,0.044,0.006,0.005,1.38,56,26.72,3.139707,294.04,NA
ABRIL,9,20,0.031,0.006,0.012,1.66,56,24.55,1.757758,271.26,NA
ABRIL,9,21,0.020,0.006,0.017,1.96,72,23.29,1.077047,273.40,NA
ABRIL,9,22,0.015,0.041,0.019,2.65,91,22.52,2.180487,213.29,NA
ABRIL,9,23,0.035,0.009,0.005,1.31,76,20.62,4.12573,79.18,NA
ABRIL,10,0,0.041,0.007,0.003,1.26,53,18.79,4.906495,84.25,NA
ABRIL,10,1,0.031,0.006,0.003,1.24,47,17.16,5.813712,74.88,NA
ABRIL,10,2,0.027,0.006,0.003,1.23,30,16.48,5.033675,64.76,NA
ABRIL,10,3,0.034,0.006,0.003,1.25,20,15.60,2.300578,75.50,NA
ABRIL,10,4,0.029,0.006,0.003,1.26,17,14.90,1.660795,84.45,NA
ABRIL,10,5,0.023,0.006,0.004,1.28,14,14.55,2.28198,103.10,NA
ABRIL,10,6,0.027,0.006,0.004,1.30,17,14.19,3.264018,93.85,NA
ABRIL,10,7,0.023,0.006,0.006,1.41,28,13.87,3.138698,93.61,NA
ABRIL,10,8,0.021,0.006,0.006,1.43,58,14.70,3.523552,93.03,NA
ABRIL,10,9,0.025,0.006,0.004,1.40,48,17.30,4.37572,92.84,NA
ABRIL,10,10,0.031,0.006,0.004,1.42,46,18.90,4.20269,83.32,NA
ABRIL,10,11,0.032,0.006,0.004,1.41,42,20.63,3.430245,91.27,NA
ABRIL,10,12,0.040,0.006,0.003,1.37,39,24.03,2.394928,115.29,NA
ABRIL,10,13,0.049,0.022,0.004,1.41,52,25.78,1.841263,163.03,NA
ABRIL,10,14,0.062,0.059,0.007,2.12,66,27.32,2.090472,231.53,NA
