DATOS HORARIOS 2023_NATIVITAS,,,,,,,,,,,
NOTA,LOS DATOS SON REVALIDADOS,,,,,,,,,,
,,,,,,,,,,,
MES,DÍA,HORA,O3 [ppm],SO2 [ppm],NO2 [ppm],CO [ppm],PM10 [µg/m3],WS,WD,TEMP,HR
OCTUBRE,11,12,0.017,0.007,0.003,0.93,11,1.760,273.030,20.410,66.120
OCTUBRE,11,13,0.018,0.007,0.002,1058.00,12,2.830,292.660,21.580,59.270
OCTUBRE,11,14,0.021,0.007,0.005,0.96,12,2.070,273.560,22.920,54.660
OCTUBRE,11,15,0.023,0.007,0.005,0.86,14,4.020,245.830,24.060,46.830
OCTUBRE,11,16,0.024,0.007,0.005,0.87,21,4.130,249.510,23.430,47.070
OCTUBRE,11,17,0.026,0.007,0.006,0.86,20,3.900,250.520,24.060,44.810
OCTUBRE,11,18,0.024,0.007,0.008,0.93,28,3.250,247.310,23.450,46.370
OCTUBRE,11,19,0.016,0.008,0.013,10424.00,27,1.840,218.170,21.270,54.590
OCTUBRE,11,20,0.010,0.008,0.012,0.89,30,2.110,168.370,18.270,71.450
OCTUBRE,11,21,0.007,0.008,0.010,0.95,19,0.980,145.520,16.840,77.630
OCTUBRE,11,22,0.004,0.008,0.011,10451.00,30,0.960,194.590,16.160,79.060
OCTUBRE,11,23,0.005,0.008,0.007,0.99,30,0.990,189.290,16.320,81.340
OCTUBRE,12,0,0.004,0.008,0.007,0.89,22,0.960,151.460,15.290,83.900
OCTUBRE,12,1,0.003,0.008,0.006,0.90,17,0.960,109.110,14.790,88.080
OCTUBRE,12,2,0.003,0.008,0.007,0.95,31,0.960,101.450,14.310,89.660
OCTUBRE,12,3,NA,0.008,0.009,0.87,31,0.960,76.490,13.870,91.430
OCTUBRE,12,4,0.004,0.008,0.008,0.90,26,0.960,126.380,14.470,90.230
OCTUBRE,12,5,0.001,0.008,0.010,0.96,21,0.960,126.950,14.890,88.240
OCTUBRE,12,6,0.001,0.008,0.007,0.97,21,0.960,192.570,15.140,87.770
OCTUBRE,12,7,0.002,0.008,0.007,10684.00,33,0.960,144.150,14.550,89.820
OCTUBRE,12,8,0.003,0.008,0.009,13777.00,47,0.960,190.730,16.480,86.490
OCTUBRE,12,9,0.007,0.008,0.006,10456.00,36,0.960,227.180,19.690,74.780
OCTUBRE,12,10,0.015,0.008,0.005,0.90,23,1.080,237.410,23.520,57.790
OCTUBRE,12,11,0.020,0.008,0.004,0.88,16,1.230,246.300,23.330,52.980
OCTUBRE,12,12,0.024,0.008,0.004,0.88,11,1.360,259.680,24.030,49.200
OCTUBRE,12,13,0.029,0.008,0.005,0.90,15,1.390,240.280,25.570,43.350
OCTUBRE,12,14,0.033,0.008,0.005,0.86,14,1.340,216.370,26.010,39.970
OCTUBRE,12,15,0.033,0.008,0.007,0.89,12,1.550,260.650,26.690,36.780
OCTUBRE,12,16,0.036,0.007,0.008,0.89,20,2.100,243.440,26.400,36.620
OCTUBRE,12,17,0.035,0.008,0.010,0.90,19,1.990,259.840,26.260,37.310
OCTUBRE,12,18,0.031,0.008,0.011,0.94,20,1.980,255.460,25.800,36.820
OCTUBRE,12,19,0.021,0.008,0.017,12067.00,38,1.170,267.940,23.470,43.000
