DATOS MÓVILES 2019_CRUZ ROJA,,,,,,,,
,,,,,,,,
,,,,,,,,
MES,DIA,HORA,MO3,MSO2,MCO,NO2,MPM10,MPM2.5
SEP,4,22,32.34,7.98,0.436,5.31,30,18
SEP,4,23,30.35,7.17,0.426,4.49,30,18
SEP,5,0,28.48,5.93,0.402,2.75,30,18
SEP,5,1,25.75,4.05,0.336,3.55,30,18
SEP,5,2,23.16,3.26,0.318,2.53,30,18
SEP,5,3,21.03,3.34,0.307,1.63,30,18
SEP,5,4,18.96,3.47,0.261,2.42,30,18
SEP,5,5,17.24,3.41,0.249,1.22,29,18
SEP,5,6,15.12,3.39,0.244,2.65,29,18
SEP,5,7,12.49,3.35,0.309,9.43,28,19
SEP,5,8,11.25,2.94,0.367,10.15,27,19
SEP,5,9,11.10,2.36,0.411,7.35,27,19
SEP,5,10,11.97,2.63,0.446,5.80,26,19
SEP,5,11,16.83,4.72,0.470,5.85,26,19
SEP,5,12,23.52,6.97,0.495,5.48,27,20
SEP,5,13,31.20,7.94,0.509,2.03,27,21
SEP,5,14,39.05,8.88,0.512,1.97,27,21
SEP,5,15,46.80,9.41,0.455,0.98,27,21
SEP,5,16,50.94,10.30,0.421,1.12,27,22
SEP,5,17,50.15,10.37,0.429,5.96,27,22
SEP,5,18,50.09,10.41,0.538,20.38,27,22
SEP,5,19,48.43,10.43,0.566,6.22,27,23
SEP,5,20,44.66,10.42,0.579,5.03,27,23
SEP,5,21,40.72,11.31,0.564,3.04,27,23
SEP,5,22,36.49,11.58,0.559,2.38,27,24
SEP,5,23,33.03,11.66,0.556,2.68,27,24
SEP,6,0,31.79,11.76,0.514,0.20,26,24
SEP,6,1,33.71,11.90,0.457,0.55,26,24
SEP,6,2,33.35,11.98,0.306,0.43,25,24
SEP,6,3,30.85,11.69,0.254,0.20,25,24
SEP,6,4,27.69,11.42,0.218,3.23,25,24
SEP,6,5,23.96,11.44,0.222,3.36,26,24
SEP,6,6,20.11,11.44,0.250,5.55,27,25
SEP,6,7,15.47,11.46,0.360,10.82,27,25
SEP,6,8,11.75,11.45,0.430,6.56,28,26
SEP,6,9,9.44,11.05,0.503,5.80,28,26
SEP,6,10,9.31,10.79,0.605,10.12,28,27
SEP,6,11,12.32,10.09,0.676,9.51,29,29
SEP,6,12,15.77,9.27,0.697,3.18,29,29
SEP,6,13,20.27,9.17,0.726,2.99,30,29
SEP,6,14,26.67,9.54,0.712,2.70,30,29
SEP,6,15,33.43,9.94,0.632,3.10,30,30
SEP,6,16,39.46,9.84,0.597,2.43,31,30
SEP,6,17,43.84,9.91,0.560,1.65,30,30
SEP,6,18,45.16,9.86,0.496,3.11,29,30
SEP,6,19,42.37,9.87,0.495,7.45,29,29
SEP,6,20,39.90,9.90,0.552,11.55,30,29
SEP,6,21,36.73,9.03,0.574,8.77,30,29
SEP,6,22,31.79,9.02,0.572,5.63,30,29
SEP,6,23,25.90,9.24,0.550,4.80,30,29
SEP,7,0,20.34,10.65,0.525,7.04,31,29
SEP,7,1,15.93,12.53,0.493,7.57,32,29
SEP,7,2,13.66,14.02,0.459,5.22,32,30
SEP,7,3,12.37,14.93,0.387,2.62,32,30
SEP,7,4,11.61,16.23,0.305,4.45,31,30
SEP,7,5,11.30,16.86,0.245,2.52,31,30
SEP,7,6,9.86,17.61,0.215,2.80,30,29
SEP,7,7,8.99,18.84,0.226,8.26,30,29
SEP,7,8,8.30,20.34,0.255,8.33,30,28
SEP,7,9,8.40,21.85,0.257,3.84,30,28
SEP,7,10,8.86,22.66,0.263,1.98,29,27
SEP,7,11,11.23,22.35,0.271,1.70,29,26
SEP,7,12,13.63,22.22,0.283,2.26,28,25
SEP,7,13,15.64,22.10,0.299,2.01,27,25
SEP,7,14,20.16,21.53,0.332,4.07,27,24
SEP,7,15,24.75,21.11,0.323,3.25,26,24
SEP,7,16,28.72,20.39,0.293,0.20,25,23
SEP,7,17,31.76,20.26,0.302,0.87,25,22
SEP,7,18,32.85,20.26,0.319,1.84,25,22
SEP,7,19,33.94,20.25,0.355,5.33,25,22
SEP,7,20,33.49,20.25,0.374,3.46,25,22
SEP,7,21,32.29,20.29,0.390,3.26,25,22
SEP,7,22,30.91,20.04,0.398,4.25,25,22
SEP,7,23,29.76,19.74,0.393,2.19,25,22
SEP,8,0,28.87,18.22,0.389,1.13,24,22
SEP,8,1,27.33,16.21,0.377,1.37,24,21
SEP,8,2,26.33,14.64,0.353,0.76,23,21
SEP,8,3,24.15,13.67,0.307,0.20,22,20
SEP,8,4,22.29,12.32,0.278,1.39,22,19
SEP,8,5,20.68,11.63,0.255,1.84,22,19
SEP,8,6,18.19,10.82,0.225,3.52,22,19
SEP,8,7,15.56,9.48,0.225,2.87,21,18
SEP,8,8,12.66,7.95,0.233,1.61,20,18
SEP,8,9,11.10,6.77,0.256,4.45,20,18
SEP,8,10,10.95,7.79,0.279,4.78,20,18
SEP,8,11,13.09,8.14,0.304,4.31,20,18
SEP,8,12,17.48,7.19,0.332,3.12,21,19
SEP,8,13,23.63,7.40,0.342,2.44,21,18
SEP,8,14,29.48,7.64,0.351,2.21,21,19
SEP,8,15,37.37,7.38,0.363,2.26,21,20
SEP,8,16,44.39,7.76,0.365,0.20,22,20
SEP,8,17,50.20,7.87,0.356,0.22,22,20
SEP,8,18,52.16,7.94,0.347,0.23,22,21
SEP,8,19,49.37,7.95,0.351,3.30,22,21
SEP,8,20,46.25,7.94,0.402,10.32,21,21
SEP,8,21,40.92,7.92,0.446,9.16,21,21
SEP,8,22,35.99,7.91,0.485,8.30,21,20
SEP,8,23,29.24,7.91,0.481,4.54,22,21
SEP,9,0,25.84,7.91,0.479,3.84,22,21
SEP,9,1,22.87,7.91,0.461,0.40,22,22
SEP,9,2,20.56,7.91,0.443,0.64,22,22
SEP,9,3,21.39,7.94,0.416,4.49,23,22
SEP,9,4,21.92,8.32,0.334,3.62,23,22
SEP,9,5,21.71,8.37,0.277,2.23,23,22
SEP,9,6,20.48,8.38,0.257,7.31,24,22
SEP,9,7,18.53,8.38,0.330,12.36,24,22
SEP,9,8,16.06,8.38,0.423,12.99,25,22
SEP,9,9,14.85,8.03,0.472,6.37,25,22
SEP,9,10,17.87,6.53,0.501,4.38,24,22
SEP,9,11,23.04,6.10,0.523,3.37,24,21
SEP,9,12,29.15,6.77,0.561,4.83,24,20
SEP,9,13,38.48,6.57,0.612,6.32,24,21
SEP,9,14,51.87,6.02,0.613,3.07,25,20
SEP,9,15,65.07,6.16,0.549,3.53,25,20
SEP,9,16,78.00,6.45,0.471,2.69,26,21
SEP,9,17,89.38,6.98,0.458,5.08,27,21
SEP,9,18,97.56,7.22,0.470,4.28,27,22
SEP,9,19,99.54,7.27,0.518,9.21,28,22
SEP,9,20,96.92,7.27,0.551,10.57,29,22
SEP,9,21,92.13,7.26,0.528,4.38,29,22
SEP,9,22,82.98,7.52,0.498,1.28,28,22
SEP,9,23,75.00,7.79,0.473,1.20,28,22
SEP,10,0,66.11,7.80,0.451,0.87,28,22
SEP,10,1,56.75,7.86,0.417,1.31,28,21
SEP,10,2,46.80,7.92,0.383,1.03,28,21
SEP,10,3,41.72,7.90,0.314,2.11,28,21
SEP,10,4,37.89,7.53,0.243,2.03,28,21
SEP,10,5,32.00,7.48,0.210,6.29,28,21
