DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_CRUZ ROJA 2023,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,
,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],PM2.5 Promedio ponderado  de 12 hrs.  [µg/m³]
MARZO,11,5,0.018712467,0.022546275,0.023947951,0.482374,41,26
MARZO,11,6,0.013414183,0.02142835,0.02362363,0.442725875,39,26
MARZO,11,7,0.007688108,0.019145045,0.023351289,0.440940875,42,28
MARZO,11,8,0.010513847,0.017231884,0.023007448,0.479329375,47,29
MARZO,11,9,0.019970095,0.017134465,0.020228641,0.51556875,53,30
MARZO,11,10,0.032276283,0.018230935,0.01694801,0.546664375,51,32
MARZO,11,11,0.037721767,0.019633548,0.015964673,0.589625875,48,34
MARZO,11,12,0.048943817,0.023655071,0.015801946,0.61370925,40,32
MARZO,11,13,0.059060317,0.028698552,0.015724998,0.637851125,39,30
MARZO,11,14,0.07161775,0.035973998,0.015703288,0.654774875,38,29
MARZO,11,15,0.072271583,0.044046932,0.015606236,0.66462575,36,29
MARZO,11,16,0.066121167,0.050997847,0.015537954,0.640640125,36,29
MARZO,11,17,0.066892283,0.056863121,0.015376542,0.606316375,36,28
MARZO,11,18,0.06422025,0.060856117,0.015234007,0.58589025,33,28
MARZO,11,19,0.0447831,0.061738783,0.015198441,0.5996325,42,28
MARZO,11,20,0.030605717,0.059446521,0.015137535,0.662004125,46,27
MARZO,11,21,0.03158925,0.056012638,0.014713347,0.703958625,52,28
MARZO,11,22,0.034638883,0.051390279,0.013767335,0.728682125,49,29
MARZO,11,23,0.031590383,0.046305129,0.008096273,0.734535875,49,27
MARZO,12,0,0.027075883,0.041424469,0.003944439,0.745683375,46,27
MARZO,12,1,0.029819167,0.036790329,0.002937194,0.7496575,43,27
MARZO,12,2,0.033973067,0.033009431,0.002824403,0.73750275,40,26
MARZO,12,3,0.032938033,0.031528798,0.002637369,0.678679625,34,24
MARZO,12,4,0.0272391,0.031107971,0.00251107,0.587354625,31,23
MARZO,12,5,0.017277017,0.029318942,0.002378694,0.532838375,33,22
MARZO,12,6,0.016944367,0.027107127,0.0023356,0.505188625,36,21
MARZO,12,7,0.017795507,0.025382768,0.00228823,0.49047425,35,21
MARZO,12,8,0.011678863,0.02345814,0.002267393,0.491191,42,24
MARZO,12,9,0.037328883,0.024396855,0.002082456,0.49668375,39,26
