DATOS HORARIOS 2019_NATIVITAS,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,PM10,WS,WD,TEMP,HR,RADSOL
MZO,4,23,18.50,2.35,0.369,41,1.56,126.10,22.82,38.70,1.95
MZO,5,0,10.41,3.46,0.469,30,1.64,319.92,21.65,42.47,2.06
MZO,5,1,15.71,3.24,0.299,25,2.07,291.27,20.78,45.56,2.08
MZO,5,2,15.08,3.47,0.250,32,2.21,250.85,19.76,49.11,2.15
MZO,5,3,22.34,2.64,0.220,26,2.15,274.28,19.05,51.41,2.13
MZO,5,4,16.19,2.32,0.220,25,1.61,293.60,18.13,53.04,2.18
MZO,5,5,16.78,2.21,0.240,26,1.51,245.87,17.51,54.84,2.24
MZO,5,6,9.49,2.90,0.319,25,1.63,186.21,17.05,58.76,2.23
MZO,5,7,2.00,4.50,0.479,42,1.33,132.65,15.55,64.49,2.60
MZO,5,8,2.00,6.21,0.797,47,1.81,93.19,16.07,64.93,65.47
MZO,5,9,2.00,6.49,0.608,46,1.66,91.46,21.01,49.64,283.66
MZO,5,10,8.36,9.99,0.449,34,1.46,107.90,25.40,39.06,512.19
MZO,5,11,29.25,97.48,0.668,47,1.53,180.51,28.70,31.74,718.27
MZO,5,12,43.28,34.53,0.658,52,1.88,201.21,29.94,28.43,863.29
MZO,5,13,51.65,11.80,0.439,39,2.18,261.35,31.32,25.12,934.69
MZO,5,14,47.79,2.89,0.329,25,2.65,277.24,32.22,21.70,902.45
MZO,5,15,42.55,1.89,0.240,12,2.77,277.55,33.04,19.77,883.96
MZO,5,16,42.52,1.74,0.180,13,2.29,251.48,33.66,18.44,734.69
MZO,5,17,38.56,1.80,0.180,23,2.80,266.10,33.50,16.43,522.08
MZO,5,18,37.66,1.61,0.220,25,2.77,285.32,32.51,16.14,282.63
MZO,5,19,32.36,1.42,0.389,23,2.32,291.32,30.22,18.26,56.18
MZO,5,20,20.43,2.08,0.787,38,1.59,234.35,27.22,23.11,6.21
MZO,5,21,8.63,3.10,0.618,64,3.23,104.11,25.66,29.05,5.70
MZO,5,22,13.84,2.87,0.240,64,5.08,87.85,24.03,33.60,1.89
MZO,5,23,10.66,2.40,0.220,37,4.70,95.05,21.08,40.94,2.07
MZO,6,0,12.78,2.40,0.180,26,4.48,85.30,18.76,46.87,2.17
MZO,6,1,11.57,2.12,0.180,15,4.02,91.89,17.19,52.23,2.30
MZO,6,2,9.36,2.24,0.180,14,4.43,99.54,16.11,55.66,2.29
MZO,6,3,7.52,2.14,0.190,15,4.15,100.08,14.85,60.11,2.39
MZO,6,4,6.22,1.72,0.180,9,4.55,96.36,13.73,63.70,2.40
MZO,6,5,10.20,1.35,0.180,18,4.76,98.96,12.68,66.25,2.48
MZO,6,6,8.89,1.21,0.180,16,5.36,100.12,11.98,68.23,2.55
MZO,6,7,5.54,1.24,0.210,13,4.66,96.23,11.29,69.92,2.89
MZO,6,8,4.14,1.21,0.319,10,4.69,98.80,11.65,68.75,66.52
