DATOS HORARIOS 2023_DIF,,,,,,,,,,,,,,
NOTA,LOS DATOS SON REVALIDADOS,,,,,,,,,,,,,
,,,,,,,,,,,,,,
MES,DÍA,HORA,O3 [ppm],SO2 [ppm],NO2 [ppm],CO [ppm],PM10 [µg/m3],PM2.5 [µg/m3],TEMP,WS,WD,HR,PBAR,UV
AGOSTO,10,10,0.042,0.006,0.009,0.57,56,5,22.99,2.38,229.18,61.96,626.59,8.28
AGOSTO,10,11,0.052,0.005,0.008,0.55,5,93,24.73,2.58,259.06,56.95,626.53,9.78
AGOSTO,10,12,0.061,0.006,0.008,0.54,24,22,25.81,2.94,271.5,51.9,626.21,10.57
AGOSTO,10,13,0.062,0.006,0.008,0.52,25,10,26.99,3.06,256.32,48.74,625.74,NA
AGOSTO,10,14,0.066,0.006,0.008,0.55,26,7,27.57,3.22,247.72,45.42,625.21,10.2
AGOSTO,10,15,0.068,0.006,0.008,0.52,24,1,28.97,3.41,251.09,40.32,624.52,NA
AGOSTO,10,16,0.070,0.006,0.007,0.45,42,1,29.89,3.32,278.86,35.53,623.62,10.85
AGOSTO,10,17,0.071,0.006,0.008,0.47,30,4,30.19,3.16,260.32,31.74,622.96,8.28
AGOSTO,10,18,0.075,0.006,0.007,0.43,30,9,29.75,3.11,273.41,33.23,622.89,6.04
AGOSTO,10,19,0.072,0.006,0.009,0.47,20,19,28.73,2.64,244.89,34.8,623.21,4.9
