DATOS HORARIOS 2020_CRUZ ROJA,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,
,,,,,,,,,,,
MES,DIA,HORA,O3 (ppm),SO2 (ppm),CO (ppm),NO2 (ppm),PM10 (µg/m³),PM2.5 (µg/m³),WS (m/s),WD (°),TEMP (°C)
SEP,11,7,0.0141,0.0518,NA,0.0123,35,28,2.21,87.52,18.55
SEP,11,8,0.0119,0.0552,NA,0.0134,26,20,2.55,89.98,19.19
SEP,11,9,0.0207,0.0571,NA,0.0067,19,21,2.41,65.93,20.43
SEP,11,10,0.0275,0.025,NA,0.0043,12,13,4.37,66.07,21.28
SEP,11,11,0.0305,0.018,NA,0.0055,14,10,3.27,72.26,21.85
SEP,11,12,0.0341,0.0299,NA,0.0098,19,16,3.19,99.26,22.92
SEP,11,13,0.0422,0.0354,NA,0.0063,24,16,4.12,79.45,23.76
SEP,11,14,0.0464,0.0241,NA,0.0055,12,15,3.77,81.12,25.16
SEP,11,15,0.0482,0.0017,NA,0.0048,11,12,3.31,75.38,25.95
SEP,11,16,0.0435,NA,NA,0.004,10,10,4.05,68.48,26.18
SEP,11,17,0.0416,NA,NA,0.0036,7,8,4.36,56.55,25.95
SEP,11,18,0.0403,NA,NA,0.0042,15,7,4.6,50.96,25.22
SEP,11,19,0.038,NA,NA,0.0055,10,8,3.44,60.12,24.86
SEP,11,20,0.0311,0.0066,NA,0.0071,9,8,3.33,66.89,23.37
SEP,11,21,0.0284,0.014,NA,NA,21,10,3.7,59.38,22.12
SEP,11,22,0.0268,NA,NA,NA,9,14,2.2,53.07,21.13
SEP,11,23,0.0226,0.0266,NA,NA,13,9,2.45,86.14,20.1
SEP,12,0,0.0194,0.0342,NA,0.008,16,7,2.2,91.15,19.26
SEP,12,1,0.0196,0.0257,NA,0.0084,11,17,2.03,74.2,19.21
SEP,12,2,0.0208,0.0635,NA,NA,16,14,2.74,71.27,19.03
SEP,12,3,0.0208,0.1356,NA,0.0068,12,12,3.76,76.94,18.7
SEP,12,4,0.0196,0.0715,NA,NA,21,11,3.51,83.67,18.36
SEP,12,5,0.0216,0.0184,NA,NA,14,16,3.07,74.05,17.88
SEP,12,6,0.0191,0.0195,NA,NA,9,11,3.43,82.29,17.62
SEP,12,7,0.016,0.0666,NA,0.0105,17,12,3.31,86.34,17.54
SEP,12,8,0.0181,0.0528,NA,0.0093,14,19,2.82,86,18.24
SEP,12,9,0.0311,0.0554,NA,0.0043,5,14,4.23,77.05,20.36
SEP,12,10,0.0356,0.0491,NA,0.0037,6,11,3.91,71.02,21.38
SEP,12,11,0.0382,0.01,NA,0.004,12,6,2.51,90.6,22.56
SEP,12,12,0.0385,0.0232,NA,0.0083,14,7,1.78,111.44,24.09
SEP,12,13,0.043,0.0138,NA,0.0086,19,19,2.37,153.5,25.16
SEP,12,14,0.0525,0.0173,NA,0.0097,25,20,1.77,148.26,26.23
SEP,12,15,0.062,0.0253,NA,0.0096,25,26,1.4,235.19,27.41
SEP,12,16,0.0682,0.0179,NA,0.0098,43,36,1.51,164.8,27.06
SEP,12,17,0.0504,NA,NA,0.007,27,31,2.22,182.3,26.98
SEP,12,18,0.0452,NA,NA,0.0085,6,13,1.8,215.78,27.57
SEP,12,19,0.0365,NA,NA,0.0116,24,11,2.71,258.71,24.38
SEP,12,20,0.0276,NA,NA,0.0097,16,11,2.34,122.08,24.25
SEP,12,21,0.0314,NA,NA,0.0117,21,10,2.85,211.2,22.58
SEP,12,22,0.0267,NA,NA,0.011,18,20,2.19,206.21,21.45
SEP,12,23,0.0257,NA,NA,0.0104,13,9,1.17,239.6,20.73
SEP,13,0,0.0234,NA,NA,0.0092,14,9,1.24,97.62,20.51
SEP,13,1,0.0211,NA,NA,NA,22,18,0.99,88.06,20.24
SEP,13,2,0.0301,NA,NA,NA,11,11,1.33,126.09,20.37
SEP,13,3,0.0218,0.0084,NA,0.008,14,9,2.63,109.89,20.17
SEP,13,4,0.015,0.0162,NA,0.0101,15,16,2.73,71.66,19.43
SEP,13,5,0.0165,NA,NA,NA,13,14,1.65,65.32,19.25
SEP,13,6,0.0159,NA,NA,0.0078,6,9,0.76,206.6,18.84
SEP,13,7,0.0127,NA,NA,0.0107,9,7,0.5,158.55,18.88
SEP,13,8,0.0153,0.0164,NA,0.0096,13,8,1.33,99.38,19.3
SEP,13,9,0.0129,0.0546,NA,0.0073,16,NA,2.33,90.37,20.36
SEP,13,10,0.0266,0.0434,NA,0.0066,17,NA,2.46,88.65,22.16
SEP,13,11,0.0368,0.0102,NA,0.0032,14,NA,2.83,77.49,23.92
SEP,13,12,0.0353,NA,NA,0.0047,10,2,2.04,122.51,24.66
SEP,13,13,0.0392,NA,NA,0.0033,7,4,2.64,67.88,24.93
