DATOS MÓVILES 2020_DIF,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,
,,,,,,,,,
MES,DIA,HORA,O3 Horario [ppb],O3 Promedio de 8 hrs. [ppb],SO2 Promedio de 24 hrs. [ppb],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],PM2.5 Promedio ponderado  de 12 hrs.  [µg/m³],NO2 Horario [ppb]
MZO,15,0,31.11,38.55,26.84,1.62,67,16,7.68
MZO,15,1,29.45,34.99,26.71,1.59,38,12,7.19
MZO,15,2,25.62,31.58,26.74,1.57,28,10,9.73
MZO,15,3,21.36,29.02,26.91,1.55,21,10,13.47
MZO,15,4,15.30,27.35,26.7,1.53,20,11,14.55
MZO,15,5,15.75,25.79,26.88,1.52,21,8,13.91
MZO,15,6,6.88,22.29,26.97,1.53,25,12,21.59
MZO,15,7,4.43,18.74,26.83,1.54,29,22,24.66
MZO,15,8,8.53,15.92,26.54,1.57,29,17,19.18
MZO,15,9,9.81,13.46,26.34,1.61,40,18,31.34
MZO,15,10,21.45,12.94,26.11,1.65,42,27,17.51
MZO,15,11,30.29,14.06,25.7,1.69,32,29,12.84
MZO,15,12,38.03,16.9,25.23,1.73,39,23,14.22
MZO,15,13,42.55,20.25,23.89,1.76,27,26,13.57
MZO,15,14,48.02,25.39,21.18,1.78,18,25,12.96
MZO,15,15,52.78,31.43,18.99,1.78,18,20,9.82
MZO,15,16,54.60,37.19,18.21,1.76,13,17,8.38
MZO,15,17,54.97,42.84,17.8,1.72,17,15,6.21
MZO,15,18,51.26,46.56,17.6,1.7,18,14,8.3
MZO,15,19,46.88,48.64,17.5,1.69,32,14,13.52
MZO,15,20,40.35,48.93,17.42,1.69,43,14,16.69
MZO,15,21,23.21,46.51,18.16,1.75,54,19,13.75
MZO,15,22,23.42,43.43,18.35,1.75,57,21,12.08
MZO,15,23,23.08,39.72,19.08,1.74,55,19,10.85
MZO,16,0,23.99,35.9,19.35,1.73,58,24,7.21
MZO,16,1,24.92,32.14,19.51,1.73,47,23,4.44
MZO,16,2,24.10,28.74,19.69,1.73,41,22,6.15
MZO,16,3,21.99,25.63,19.61,1.7,35,23,5.74
MZO,16,4,17.53,22.78,19.91,1.67,31,26,8.66
MZO,16,5,9.28,21.04,19.96,1.58,32,23,18.61
MZO,16,6,4.56,18.68,20.18,1.56,31,22,26.1
MZO,16,7,8.95,16.91,20.37,1.56,36,25,16.73
MZO,16,8,9.41,15.09,20.65,1.59,37,24,15.87
MZO,16,9,12.40,13.53,20.78,1.63,41,25,17.58
MZO,16,10,24.76,13.61,20.9,1.65,36,25,10.21
MZO,16,11,31.58,14.81,21.04,1.67,31,25,9.53
MZO,16,12,38.83,17.47,21.2,1.7,64,25,10.52
MZO,16,13,45.95,22.05,21.64,1.73,48,27,12.09
MZO,16,14,52.39,28.03,22.19,1.74,33,27,11.3
MZO,16,15,57.18,34.06,23,1.74,27,25,10.25
MZO,16,16,56.47,39.95,23.27,1.72,17,24,6.38
MZO,16,17,46.90,44.26,23.61,1.71,32,16,12.81
MZO,16,18,31.26,45.07,23.83,1.69,61,14,9.33
MZO,16,19,27.01,44.5,24.08,1.7,32,12,12.92
MZO,16,20,21.30,42.31,24.32,1.7,16,11,17.12
MZO,16,21,23.63,39.52,23.77,1.69,9,9,14.2
MZO,16,22,15.33,34.89,23.83,1.69,5,7,20.11
MZO,16,23,22.16,30.51,23.29,1.69,3,13,13.21
MZO,17,0,24.53,26.52,23.23,1.69,2,12,11.03
MZO,17,1,23.64,23.61,23.35,1.67,1,16,11.58
MZO,17,2,25.78,22.92,23.29,1.65,1,14,9.72
MZO,17,3,23.46,22.48,23.22,1.62,1,11,10.07
MZO,17,4,15.55,21.76,23.21,1.6,1,9,17.19
MZO,17,5,5.06,19.44,23.17,1.58,1,11,28.79
MZO,17,6,5.65,18.23,23.11,1.56,1,17,25.65
MZO,17,7,2.41,15.76,23,1.6,1,14,28.78
MZO,17,8,4.43,13.25,22.91,1.65,1,22,25.82
MZO,17,9,8.26,11.32,22.88,1.73,NA,24,26.11
MZO,17,10,18.90,10.47,22.93,1.78,NA,27,18.11
