DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_DIF 2020,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
MES,DIA,HORA,O3 Horario,O3 promedio 8 hrs.,SO2 promedio 24hrs,CO promedio 8hrs.,NO2 horario,PM10 promedio ponderado 12hrs.,PM2.5 promedio ponderado 12 hrs.
JUL,16,23,20.6,39.97,11.62,0.26,6.62,64,16
JUL,17,0,21.12,34.09,11.43,0.254,5.29,54,16
JUL,17,1,20.64,29.23,11.24,0.245,6.58,47,19
JUL,17,2,25.19,24.99,11.04,0.244,5.15,46,21
JUL,17,3,21.85,22.41,10.85,0.24,6.02,46,25
JUL,17,4,18.34,21.32,10.64,0.223,7.7,47,27
JUL,17,5,17.53,20.78,10.52,0.205,7.34,50,24
JUL,17,6,13.54,19.85,10.57,0.212,12.22,54,26
JUL,17,7,16.1,19.29,10.5,0.234,13.02,57,28
JUL,17,8,13.13,18.29,10.36,0.273,12.83,62,29
JUL,17,9,24.31,18.75,10.19,0.313,8.12,67,30
JUL,17,10,31.26,19.51,10.02,0.346,7.95,65,29
JUL,17,11,45.07,22.41,9.98,0.369,6.3,75,31
JUL,17,12,53.56,26.81,10.07,0.395,6.68,74,30
JUL,17,13,55.44,31.55,10.2,0.41,6.98,72,28
JUL,17,14,56.57,36.93,10.15,0.407,5.47,72,26
