DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_NATIVITAS 2023,,,,,,,,
NOTA,LOS DATOS SON PREVALIDADOS ,,,,,,,
,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],NO2 Horario [ppm]
JULIO,5,21,0.022,0.054,0.009,0.918,65,0.018
JULIO,5,22,0.022,0.049,0.009,0.929,60,0.015
JULIO,5,23,0.016,0.043,0.009,0.925,54,0.011
JULIO,6,0,0.017,0.037,0.009,0.923,50,0.01
JULIO,6,1,0.014,0.03,0.009,0.916,51,0.009
JULIO,6,2,0.015,0.023,0.01,0.904,47,0.008
JULIO,6,3,0.016,0.019,0.01,0.853,40,0.008
JULIO,6,4,0.017,0.017,0.01,0.793,35,0.008
JULIO,6,5,0.018,0.017,0.01,0.734,29,0.006
JULIO,6,6,0.01,0.015,0.01,0.712,26,0.01
JULIO,6,7,0.009,0.014,0.01,0.728,30,0.012
JULIO,6,8,0.012,0.014,0.01,0.756,49,0.01
JULIO,6,9,0.022,0.015,0.01,0.778,59,0.007
JULIO,6,10,0.033,0.017,0.011,0.796,51,0.005
JULIO,6,11,0.041,0.02,0.011,0.812,54,0.004
JULIO,6,12,0.047,0.024,0.011,0.824,111,0.004
JULIO,6,13,0.054,0.029,0.011,0.835,113,0.004
JULIO,6,14,0.056,0.034,0.011,0.842,79,0.004
