DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_NATIVITAS 2023,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,
,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],NO2 Horario [ppm]
ENERO,14,20,0.012,0.052,0.01,NA,85,0.033
ENERO,14,21,0.014,0.048,0.009,NA,120,0.031
ENERO,14,22,0.018,0.043,0.009,NA,172,0.028
ENERO,14,23,0.018,0.038,0.009,NA,241,0.027
ENERO,15,0,0.017,0.031,0.009,NA,249,0.026
ENERO,15,1,0.029,0.026,0.009,NA,215,0.023
ENERO,15,2,0.018,0.02,0.009,NA,179,0.018
ENERO,15,3,0.019,0.018,0.009,NA,138,0.017
ENERO,15,4,0.017,0.019,0.009,NA,115,0.017
ENERO,15,5,0.016,0.019,0.009,NA,109,0.017
ENERO,15,6,0.016,0.019,0.009,NA,95,0.016
ENERO,15,7,NA,0.019,0.009,NA,92,0.017
ENERO,15,8,NA,0.019,0.009,NA,86,0.013
ENERO,15,9,0.017,0.017,0.009,NA,86,0.013
ENERO,15,10,0.03,0.019,0.009,NA,84,0.01
