DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_NATIVITAS 2023,,,,,,,,
NOTA,LOS DATOS SON PREVALIDADOS ,,,,,,,
,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],NO2 Horario [ppm]
SEP,12,23,0.036,0.048,0.012,0.791,54,0.004
SEP,13,0,0.036,0.045,0.011,0.786,42,0.003
SEP,13,1,0.033,0.041,0.011,0.78,43,0.004
SEP,13,2,0.03,0.036,0.011,0.774,42,0.005
SEP,13,3,0.027,0.033,0.012,0.759,41,0.006
SEP,13,4,0.028,0.032,0.012,0.684,38,0.005
SEP,13,5,0.031,0.032,0.012,0.651,33,0.004
SEP,13,6,0.025,0.031,0.012,0.656,34,0.008
SEP,13,7,0.018,0.028,0.012,0.686,36,0.011
SEP,13,8,0.016,0.026,0.012,0.714,48,0.011
SEP,13,9,0.025,0.025,0.013,0.743,56,0.009
SEP,13,10,0.036,0.026,0.013,0.763,61,0.006
SEP,13,11,0.041,0.028,0.014,0.779,56,0.005
SEP,13,12,0.048,0.03,0.014,0.785,45,0.004
SEP,13,13,0.054,0.033,0.014,0.793,36,0.004
SEP,13,14,0.06,0.037,0.014,0.79,33,0.003
SEP,13,15,0.059,0.042,0.014,0.765,29,0.003
SEP,13,16,0.06,0.048,0.014,0.738,30,0.003
SEP,13,17,0.061,0.052,0.014,0.71,31,0.003
SEP,13,18,0.061,0.056,0.014,0.694,36,0.004
SEP,13,19,0.053,0.057,0.014,0.704,51,0.008
SEP,13,20,0.041,0.056,0.014,0.75,67,0.013
SEP,13,21,0.028,0.053,0.012,0.808,68,0.018
SEP,13,22,0.02,0.048,0.012,0.893,102,0.02
SEP,13,23,0.03,0.044,0.013,0.919,110,0.009
SEP,14,0,0.026,0.04,0.014,0.928,82,0.008
SEP,14,1,0.021,0.035,0.014,0.938,51,0.008
SEP,14,2,0.021,0.03,0.013,0.939,34,0.007
SEP,14,3,0.012,0.025,0.013,0.924,36,0.01
SEP,14,4,0.012,0.021,0.013,0.876,38,0.009
SEP,14,5,0.016,0.02,0.013,0.813,35,0.008
SEP,14,6,0.011,0.019,0.013,0.731,29,0.01
SEP,14,7,0.007,0.016,0.012,0.738,37,0.013
SEP,14,8,0.009,0.014,0.012,0.77,51,0.013
SEP,14,9,0.019,0.013,0.012,0.793,69,0.01
SEP,14,10,0.034,0.015,0.011,0.808,76,0.006
SEP,14,11,0.039,0.018,0.011,0.81,64,0.004
SEP,14,12,0.041,0.022,0.011,0.813,48,0.004
SEP,14,13,0.046,0.026,0.011,0.819,38,0.003
SEP,14,14,0.05,0.03,0.011,0.815,29,0.003
SEP,14,15,0.053,0.036,0.011,0.786,29,0.003
SEP,14,16,0.059,0.042,0.011,0.748,33,0.003
SEP,14,17,0.06,0.048,0.011,0.718,36,0.003
SEP,14,18,0.059,0.051,0.011,0.699,38,0.003
SEP,14,19,0.054,0.053,0.011,0.71,53,0.007
SEP,14,20,0.042,0.053,0.011,0.758,67,0.013
SEP,14,21,0.023,0.05,0.011,0.834,78,0.021
SEP,14,22,0.026,0.047,0.011,0.901,80,0.016
SEP,14,23,0.019,0.043,0.01,0.921,70,0.01
SEP,15,0,0.034,0.04,0.01,0.94,64,0.01
SEP,15,1,0.017,0.034,0.01,0.946,51,0.008
SEP,15,2,0.017,0.029,0.01,0.946,46,0.004
SEP,15,3,0.016,0.024,0.01,0.923,35,0.005
SEP,15,4,0.028,0.022,0.01,0.87,31,0.007
SEP,15,5,0.024,0.023,0.01,0.798,34,0.008
SEP,15,6,0.012,0.021,0.01,0.734,39,0.008
SEP,15,7,0.01,0.02,0.01,0.735,38,0.01
SEP,15,8,0.014,0.017,0.01,0.75,45,0.007
SEP,15,9,0.019,0.017,0.011,0.768,47,0.005
SEP,15,10,0.025,0.019,0.011,0.785,54,0.005
SEP,15,11,0.029,0.02,0.011,0.8,50,0.004
SEP,15,12,0.034,0.021,0.011,0.823,44,0.005
SEP,15,13,0.044,0.023,0.011,0.828,49,0.005
SEP,15,14,0.049,0.028,0.012,0.835,49,0.004
SEP,15,15,0.055,0.034,0.012,0.823,49,0.004
SEP,15,16,0.052,0.038,0.012,0.795,45,0.004
SEP,15,17,0.048,0.042,0.012,0.778,45,0.004
SEP,15,18,0.045,0.044,0.013,0.793,46,0.005
SEP,15,19,0.03,0.045,0.013,0.843,52,0.011
SEP,15,20,0.02,0.043,0.014,0.879,61,0.015
SEP,15,21,0.03,0.041,0.014,0.881,68,0.006
SEP,15,22,0.029,0.039,0.014,0.889,60,0.006
SEP,15,23,0.028,0.035,0.013,0.903,61,0.007
SEP,16,0,0.016,0.031,0.013,0.908,60,0.007
SEP,16,1,0.019,0.027,0.013,0.913,52,0.007
SEP,16,2,0.02,0.024,0.013,0.893,48,0.006
SEP,16,3,0.015,0.022,0.013,0.838,45,0.007
SEP,16,4,0.017,0.022,0.013,0.781,36,0.005
SEP,16,5,0.011,0.019,0.013,0.769,34,0.006
SEP,16,6,0.01,0.017,0.013,0.754,31,0.006
SEP,16,7,0.01,0.015,0.013,0.744,29,0.006
SEP,16,8,0.015,0.015,0.013,0.751,31,0.005
SEP,16,9,0.021,0.015,0.013,0.756,33,0.004
SEP,16,10,0.027,0.016,0.012,0.76,38,0.004
SEP,16,11,0.031,0.018,0.012,0.764,38,0.004
SEP,16,12,0.037,0.02,0.012,0.77,37,0.003
SEP,16,13,0.042,0.024,0.012,0.775,36,0.003
SEP,16,14,0.045,0.029,0.012,0.773,34,0.003
SEP,16,15,0.045,0.033,0.012,0.76,31,0.003
SEP,16,16,0.046,0.037,0.012,0.743,27,0.002
SEP,16,17,0.045,0.04,0.012,0.756,31,0.004
SEP,16,18,0.041,0.042,0.011,0.749,33,0.003
SEP,16,19,0.036,0.042,0.011,0.756,45,0.006
SEP,16,20,0.038,0.042,0.01,0.785,63,0.01
SEP,16,21,0.03,0.041,0.01,0.805,71,0.009
SEP,16,22,0.033,0.039,0.01,0.809,68,0.004
SEP,16,23,0.032,0.038,0.01,0.806,71,0.003
SEP,17,0,0.029,0.036,0.01,0.814,48,0.003
SEP,17,1,0.032,0.034,0.01,0.788,48,0.003
SEP,17,2,0.029,0.032,0.01,0.784,N/A,0.003
SEP,17,3,0.025,0.031,0.01,0.769,N/A,0.004
SEP,17,4,0.025,0.029,0.01,0.735,16,0.003
SEP,17,5,0.024,0.029,0.01,0.716,17,0.004
SEP,17,6,0.018,0.027,0.01,0.723,20,0.005
SEP,17,7,0.019,0.025,0.01,0.739,20,0.004
SEP,17,8,0.023,0.024,0.01,0.753,17,0.005
