DATOS HORARIOS 2022_NATIVITAS,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,
,,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],NO2 [ppm],CO [ppm],PM10 [µg/m³],TEMP,WS,WD,HR,RADSOL
DICIEMBRE,8,9,0.015,0.006,0.007,NA,54,12.04,3.78,93.61,74.26,242.99
DICIEMBRE,8,10,0.022,0.006,0.005,NA,63,14.55,4.26,100.03,61.05,445.09
DICIEMBRE,8,11,0.028,0.006,0.004,NA,59,16.59,4.65,99.57,52.51,611.88
DICIEMBRE,8,12,0.035,0.006,0.003,NA,59,18.92,4.12,98.42,43.75,724.57
DICIEMBRE,8,13,0.042,0.007,0.004,NA,58,21.33,3.38,97.14,36.46,714.76
DICIEMBRE,8,14,0.048,0.021,0.004,NA,41,23.85,2.10,183.28,29.26,593.71
DICIEMBRE,8,15,0.054,0.037,0.005,NA,48,25.00,1.94,230.03,24.71,650.90
DICIEMBRE,8,16,0.059,0.027,0.004,NA,55,25.37,1.84,187.03,22.45,488.79
DICIEMBRE,8,17,0.059,0.012,0.004,NA,61,24.94,1.94,207.47,20.67,296.31
DICIEMBRE,8,18,0.051,0.007,0.005,NA,64,22.82,2.18,177.44,20.03,89.41
DICIEMBRE,8,19,0.019,0.006,0.021,NA,114,19.11,1.00,252.64,21.48,9.10
DICIEMBRE,8,20,0.010,0.008,0.027,NA,170,17.45,0.96,272.33,25.80,3.77
DICIEMBRE,8,21,0.028,0.103,0.019,NA,175,16.87,2.43,61.81,33.57,2.41
DICIEMBRE,8,22,0.020,0.103,0.009,NA,90,16.36,4.15,72.16,48.12,2.48
DICIEMBRE,8,23,0.019,0.011,0.007,NA,64,14.72,3.75,92.98,56.77,2.55
DICIEMBRE,9,0,0.018,0.021,0.008,NA,48,13.74,3.39,84.73,62.61,4.09
DICIEMBRE,9,1,0.020,0.017,0.005,NA,40,13.33,3.43,98.10,66.00,2.70
DICIEMBRE,9,2,0.024,0.006,0.003,NA,35,12.34,3.44,92.84,70.17,7.26
DICIEMBRE,9,3,0.023,0.005,0.003,NA,32,11.56,3.02,108.45,73.59,2.72
DICIEMBRE,9,4,0.017,0.005,0.005,NA,33,10.75,2.54,109.69,78.03,2.61
DICIEMBRE,9,5,0.011,0.005,0.007,NA,37,9.82,2.13,109.16,81.88,5.89
DICIEMBRE,9,6,0.006,0.005,0.009,NA,38,8.82,1.86,108.76,85.07,2.70
DICIEMBRE,9,7,0.008,0.005,0.008,NA,42,8.88,3.14,109.16,87.10,2.97
DICIEMBRE,9,8,0.009,0.005,0.009,NA,53,9.07,3.21,98.93,86.17,41.77
DICIEMBRE,9,9,0.013,0.005,0.008,NA,67,11.60,3.66,96.88,79.80,220.65
DICIEMBRE,9,10,0.025,0.005,0.005,NA,65,15.18,4.74,81.53,67.05,423.72
DICIEMBRE,9,11,0.030,0.005,0.004,NA,59,17.19,4.14,75.45,58.11,591.74
DICIEMBRE,9,12,0.036,0.005,0.003,NA,49,19.61,3.49,88.74,49.03,707.65
DICIEMBRE,9,13,0.041,0.005,0.003,NA,44,21.67,3.12,98.41,41.37,700.35
DICIEMBRE,9,14,0.047,0.006,0.003,NA,46,23.78,2.20,171.97,35.14,580.48
DICIEMBRE,9,15,0.056,0.013,0.005,NA,52,24.98,2.68,257.80,31.95,619.43
DICIEMBRE,9,16,0.060,0.021,0.005,NA,64,25.35,2.01,205.66,29.51,476.11
DICIEMBRE,9,17,0.060,0.018,0.005,NA,58,24.99,2.01,206.53,28.35,275.09
