DATOS HORARIOS 2022_NATIVITAS,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,
,,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],NO2 [ppm],CO [ppm],PM10 [µg/m³],TEMP,WS,WD,HR,RADSOL
MAYO,6,12,0.079,0.005,0.010,1.37,50,31.644317,2.503077,269.368333,19.739217,988.5575
MAYO,6,13,0.085,0.013,0.009,1.44,42,32.765333,2.322655,216.80095,16.671917,1035.815
MAYO,6,14,0.077,0.007,0.006,1.25,31,34.044967,2.402395,207.307633,14.219367,1022.156833
MAYO,6,15,0.070,0.047,0.019,1.25,49,34.054083,2.491462,120.396483,14.01095,657.935167
MAYO,6,16,0.067,0.019,0.008,1.33,63,32.959867,3.196543,264.7029,13.721167,468.434833
MAYO,6,17,0.075,0.007,0.008,1.26,39,34.324783,3.026067,251.23335,12.7136,579.095833
MAYO,6,18,0.074,0.004,0.009,1.31,42,33.604483,2.684717,261.269867,12.737783,327.659833
MAYO,6,19,0.067,0.004,0.009,1.30,50,31.977233,2.70816,218.51085,14.881233,118.730567
MAYO,6,20,0.043,0.005,0.015,1.33,73,28.86455,3.679213,115.032717,23.492867,14.825742
MAYO,6,21,0.034,0.017,0.022,1.39,100,27.102733,2.983033,123.572717,26.598767,44.98959
MAYO,6,22,0.050,0.009,0.008,1.27,104,25.900067,3.341573,137.381667,29.832183,28.512502
MAYO,6,23,0.051,0.005,0.006,1.23,111,23.3258,4.569462,141.832167,40.010783,21.020348
MAYO,7,0,0.047,0.004,0.006,1.20,68,21.916317,3.119565,142.014,44.31185,16.744285
MAYO,7,1,0.044,0.004,0.006,1.21,43,21.230933,2.069502,151.456383,45.9736,14.782918
MAYO,7,2,0.040,0.004,0.006,1.22,39,20.666617,1.193817,151.41555,47.068583,21.10915
MAYO,7,3,0.032,0.004,0.011,1.25,46,19.881367,1.240595,162.05875,48.9561,28.57479
MAYO,7,4,0.047,0.005,0.014,1.34,54,19.424017,1.216312,172.697833,49.584417,22.285332
MAYO,7,5,0.042,0.005,0.016,1.38,46,18.896683,0.998947,177.052783,50.10565,20.980648
MAYO,7,6,0.016,0.005,0.025,1.55,61,18.338867,1.030812,216.885083,50.863067,7.94242
MAYO,7,7,0.009,0.005,0.032,2.01,65,18.895483,1.115213,235.328,51.577917,36.446168
MAYO,7,8,0.025,0.005,0.022,1.66,60,22.30375,2.124732,256.810833,47.460317,209.6698
MAYO,7,9,0.036,0.005,0.017,1.50,67,25.083983,2.066652,264.403833,39.2463,449.751167
MAYO,7,10,0.051,0.004,0.011,1.38,74,27.427867,2.218858,264.524167,33.6567,679.400833
MAYO,7,11,0.062,0.004,0.007,1.29,65,29.1767,2.647523,258.3875,29.357783,869.676167
MAYO,7,12,0.067,0.004,0.006,1.26,55,30.087017,3.260048,264.604333,25.188367,1002.4605
MAYO,7,13,0.067,0.004,0.007,1.24,53,31.80365,3.015862,261.884667,19.873533,1058.226667
MAYO,7,14,0.073,0.004,0.008,1.28,61,32.984967,3.185972,254.563883,17.456333,1044.931667
MAYO,7,15,0.073,0.004,0.006,1.20,45,34.060417,2.74989,213.038567,14.2,876.465
MAYO,7,16,0.072,0.003,0.005,1.16,40,34.095667,2.858493,201.689317,12.937383,774.267667
MAYO,7,17,0.072,0.003,0.005,1.14,33,34.480283,3.072868,236.688167,12.288283,606.328833
MAYO,7,18,0.068,0.003,0.006,1.19,38,33.981067,2.887693,238.795333,12.001367,352.492333
MAYO,7,19,0.062,0.003,0.009,1.24,51,31.743083,2.769238,254.361333,12.5188,96.950283
MAYO,7,20,0.046,0.003,0.017,1.47,87,29.46855,2.572705,249.000667,13.791067,10.560467
MAYO,7,21,0.041,0.003,0.021,1.66,82,27.809583,2.298845,241.131833,17.184033,38.805408
MAYO,7,22,0.042,0.004,0.020,1.50,87,26.226717,1.964313,202.966333,20.813567,15.604325
MAYO,7,23,0.049,0.004,0.014,1.39,102,25.08685,1.746418,214.519167,21.94135,13.367653
MAYO,8,0,0.046,0.004,0.014,1.43,86,24.397133,2.054343,211.888833,22.861183,8.401007
MAYO,8,1,0.047,0.004,0.009,1.30,85,23.465383,2.319072,210.1455,26.6502,16.182682
MAYO,8,2,0.049,0.004,0.005,1.24,65,22.538817,2.60284,213.384167,30.548217,14.194838
MAYO,8,3,0.046,0.004,0.005,1.24,53,21.733233,2.430273,245.213667,32.972333,22.192552
MAYO,8,4,0.041,0.004,0.007,1.24,53,19.9677,1.615473,268.287,36.87465,21.690885
MAYO,8,5,0.039,0.004,0.007,1.26,51,19.062083,1.244687,244.370833,39.086683,23.352023
MAYO,8,6,0.035,0.004,0.010,1.35,64,18.5762,1.555475,276.338667,41.2598,15.947488
MAYO,8,7,0.028,0.004,0.017,1.47,70,18.6266,1.332313,234.276507,43.5325,38.35977
MAYO,8,8,0.038,0.004,0.014,1.44,63,22.998783,1.225882,209.680147,39.45255,226.858
MAYO,8,9,0.046,0.004,0.011,1.42,72,25.820317,2.406742,232.536067,31.853833,468.530667
MAYO,8,10,0.053,0.004,0.007,1.32,63,27.324983,3.571015,266.240167,26.064117,698.089333
MAYO,8,11,0.062,0.004,0.007,1.28,43,29.857517,2.933692,271.874167,20.310017,888.768333
MAYO,8,12,0.068,0.003,0.006,1.25,36,31.524617,2.61667,254.830417,17.4406,1018.3095
MAYO,8,13,0.075,0.004,0.007,1.26,35,32.760517,2.848788,240.856133,14.574467,1061.68
MAYO,8,14,0.077,0.004,0.006,1.23,45,33.519883,3.621273,259.755167,13.638467,1044.039167
MAYO,8,15,0.073,0.004,0.005,1.18,44,34.19505,3.18688,245.880167,12.41295,966.579
MAYO,8,16,0.071,0.003,0.004,1.15,40,34.63875,2.689198,236.800683,11.568717,802.5165
MAYO,8,17,0.071,0.003,0.005,1.15,36,34.507533,3.0698,247.053433,11.316567,566.22
MAYO,8,18,0.067,0.003,0.007,1.21,34,33.496733,3.031745,274.354167,11.199433,308.734333
MAYO,8,19,0.065,0.003,0.008,1.25,37,31.40015,2.739463,248.1445,12.3906,66.55145
MAYO,8,20,0.057,0.003,0.012,1.42,66,29.701,2.948627,240.251,15.023767,9.657972
MAYO,8,21,0.062,0.003,0.013,1.42,86,28.018767,3.896873,256.443,17.11945,22.90768
MAYO,8,22,0.058,0.003,0.012,1.37,71,26.676467,3.426522,258.183667,18.401417,15.655838
MAYO,8,23,0.051,0.003,0.010,1.31,67,25.723133,2.051242,190.252017,19.42465,11.574538
MAYO,9,0,0.048,0.004,0.009,1.27,67,24.7829,2.565702,208.046,23.598667,15.21935
MAYO,9,1,0.045,0.003,0.006,1.23,78,23.598467,2.888492,206.740667,29.06375,19.996475
MAYO,9,2,0.042,0.003,0.005,1.21,65,23.033317,2.701565,202.8905,32.72065,16.154802
MAYO,9,3,0.043,0.003,0.004,1.20,57,22.112233,2.825848,234.839167,35.3156,17.624558
MAYO,9,4,0.039,0.003,0.005,1.21,50,20.905567,2.04055,249.557333,38.170417,24.5644
MAYO,9,5,0.035,0.004,0.007,1.25,44,19.7676,1.6851,259.888167,40.68225,29.90139
MAYO,9,6,0.015,0.003,0.025,1.55,69,19.198633,1.364587,213.991167,42.767583,23.692817
MAYO,9,7,0.018,0.005,0.036,2.22,82,18.781433,1.115883,175.1099,45.187083,35.443758
MAYO,9,8,0.018,0.004,0.026,1.83,66,22.453717,2.549108,278.966533,39.854683,216.133333
