DATOS HORARIOS 2020_NATIVITAS,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,
,,,,,,,,,,
MES,DIA,HORA,O3 (ppm),SO2 (ppm),CO (ppm),NO2 (ppm),PM10 (µg/m³),WS (m/s),WD (°),TEMP (°C)
SEP,14,0,0.0232,0.0047,2.695,NA,25,3.88,98.65,16.95
SEP,14,1,0.0243,0.0036,2.689,NA,14,3.51,94.12,16.27
SEP,14,2,0.0251,0.003,2.664,NA,15,2.88,95.49,15.45
SEP,14,3,0.0263,0.0029,2.644,NA,19,3.65,79.2,14.76
SEP,14,4,0.0231,0.0028,2.649,NA,14,3.31,77.28,13.86
SEP,14,5,0.0179,0.0026,2.69,NA,19,2.66,121.81,13.26
SEP,14,6,0.012,0.0082,2.845,NA,24,2.43,100.81,13.25
SEP,14,7,0.0054,0.0066,2.968,NA,39,1.63,137.48,12.65
SEP,14,8,0.0098,0.0047,3.074,NA,45,2.14,63.67,15.83
SEP,14,9,0.0211,0.0059,2.863,NA,35,2.53,69.26,19.4
SEP,14,10,0.0303,0.0054,2.806,NA,26,3.61,85.27,21.7
SEP,14,11,0.039,0.0035,2.74,NA,19,3.58,106.8,23.41
SEP,14,12,0.0412,0.0025,2.76,NA,18,4.27,80.03,24.26
SEP,14,13,0.0418,0.0027,2.768,NA,21,4.06,81.23,25.08
SEP,14,14,0.045,0.0029,2.751,NA,21,3.9,100.5,26.29
SEP,14,15,0.0458,0.0026,2.757,NA,17,3.68,97.64,26.41
SEP,14,16,0.0468,0.0025,2.745,NA,22,3.44,105.53,26.78
SEP,14,17,0.0461,0.0027,2.756,NA,21,3.61,119.89,26.24
SEP,14,18,0.0425,0.0025,2.814,NA,45,3.45,97.71,25.27
SEP,14,19,0.0308,0.004,2.855,NA,35,3.8,58.5,23.9
SEP,14,20,0.0222,0.0047,2.932,NA,30,3.28,71.03,21.72
