DATOS HORARIOS 2021_NATIVITAS,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,
,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],CO [ppm],PM10 [µg/m³],TEMP,WS,WD,HR
MAYO,12,5,0.0261,0.0081,1.292,24,17.06,1.62,128.97,77.52
MAYO,12,6,0.0148,0.008,1.361,24,16.59,1.94,144.39,78.30
MAYO,12,7,0.0139,0.0084,1.415,34,16.52,1.73,172,76.77
MAYO,12,8,0.0164,0.0088,1.428,35,18.27,1.7,159.64,73.99
MAYO,12,9,0.0248,0.0089,1.444,33,21.72,1.89,88.36,60.00
MAYO,12,10,0.0327,0.0115,1.46,31,25.71,1.64,186.16,47.27
MAYO,12,11,0.044,0.0152,1.445,40,27,2.87,271.15,42.40
MAYO,12,12,0.0479,0.0118,1.38,33,28.05,3.32,260.2,37.82
MAYO,12,13,0.0502,0.0093,1.363,29,28.84,3.47,282.45,34.09
MAYO,12,14,0.0503,0.0089,1.343,25,29.82,3.64,276,29.14
MAYO,12,15,0.0521,0.0082,1.344,25,30.82,3.12,249.48,26.27
MAYO,12,16,0.0558,0.0077,1.411,31,30.37,3.6,285.04,28.34
MAYO,12,17,0.0379,0.0109,1.392,55,26.13,5.57,61.9,37.14
MAYO,12,18,0.0325,0.02,1.426,67,23.76,4.81,63.9,45.72
MAYO,12,19,0.032,0.0151,1.408,44,22.65,5.38,68.34,50.18
MAYO,12,20,0.0268,0.0114,1.353,44,18.7,6.71,66.35,72.42
MAYO,12,21,0.0271,0.0127,1.32,24,17.46,5.8,57.25,72.18
MAYO,12,22,0.0267,0.0136,1.279,21,15,4.72,70.44,82.69
MAYO,12,23,0.0265,0.0128,1.239,13,15.24,4.37,67.88,81.54
MAYO,13,0,0.0268,0.012,1.236,9,15.27,2.69,80.01,79.02
MAYO,13,1,0.0249,0.0115,1.222,8,13.9,4.35,62.2,85.12
MAYO,13,2,0.025,0.0258,1.211,22,13.48,4.48,65.98,87.68
MAYO,13,3,0.03,0.023,1.199,15,14.01,3.63,57.34,85.64
MAYO,13,4,0.0293,0.016,1.216,15,13.98,3.1,59.78,82.62
MAYO,13,5,0.0242,0.011,1.214,11,13.85,2.11,145.31,83.85
MAYO,13,6,0.0182,0.0105,1.335,13,13.46,2.93,106.31,85.24
MAYO,13,7,0.0168,0.0096,1.359,23,13.72,2.92,74.29,85.28
MAYO,13,8,0.0173,0.0107,1.427,21,14.88,2.59,57.42,80.81
MAYO,13,9,0.0222,0.0105,1.394,27,18,4.02,76.35,66.93
MAYO,13,10,0.0293,0.0085,1.326,18,19.79,5.15,71.74,57.85
MAYO,13,11,0.0306,0.0081,1.352,19,21.32,5,77.59,54.23
MAYO,13,12,0.0336,0.0078,1.337,18,22.09,4.93,63.02,51.11
MAYO,13,13,0.0369,0.0075,1.322,21,23.72,4.7,72.89,46.42
