DATOS HORARIOS 2021_NATIVITAS,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,
,,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],NO2 [ppm],CO [ppm],PM10 [µg/m³],TEMP,WS,WD,HR,RADSOL
OCTUBRE,9,7,0.0175,0.0046,NA,0.8087,16,14.2,3.05,98.36,81.00,13.72
OCTUBRE,9,8,0.0171,0.0047,NA,0.8868,23,15.69,2.79,95.12,78.62,139.58
OCTUBRE,9,9,0.0283,0.0048,NA,0.8147,26,18.51,4.11,80.37,66.26,357.58
OCTUBRE,9,10,0.0330,0.0046,NA,0.7938,23,20.31,4.59,88.7,58.55,566.88
OCTUBRE,9,11,0.0384,0.0047,NA,0.781,17,22.04,4.19,82.12,53.97,732.04
OCTUBRE,9,12,0.0448,0.0046,NA,0.7899,22,23.89,3.58,89.05,48.26,856.29
OCTUBRE,9,13,0.0501,0.0046,NA,0.7589,18,25.47,3.13,104.34,44.54,790.16
OCTUBRE,9,14,0.0512,0.0056,NA,0.8204,11,26.73,2.9,106.78,41.41,876.03
OCTUBRE,9,15,0.0490,0.013,NA,1.0452,8,28.33,2.62,154.75,35.65,798.12
OCTUBRE,9,16,0.0466,0.0091,NA,0.8486,19,29.27,2.63,227.26,32.86,662.35
OCTUBRE,9,17,0.0449,0.0089,NA,0.8784,17,29.21,2.66,249.86,31.51,429.84
OCTUBRE,9,18,0.0380,0.0054,NA,0.8981,13,27.86,3.08,261.31,31.81,174.80
OCTUBRE,9,19,0.0355,0.0048,NA,1.1797,31,24.96,3.35,314.17,43.73,12.13
OCTUBRE,9,20,0.0185,0.0047,NA,1.624,53,23.46,2.56,296.52,48.88,2.31
OCTUBRE,9,21,0.0213,0.0053,NA,1.2982,57,22.26,2.24,186.55,53.47,2.36
OCTUBRE,9,22,0.0193,0.0129,NA,0.978,32,21.51,2.45,80.31,55.27,2.40
OCTUBRE,9,23,0.0133,0.007,NA,0.9597,23,19.75,2.36,71.91,62.00,2.47
OCTUBRE,10,0,0.0173,0.0055,NA,0.7721,20,18.75,2.73,79.7,69.80,2.55
OCTUBRE,10,1,0.0130,0.0051,0.008,0.778,11,17.78,2.93,86.5,73.99,2.63
OCTUBRE,10,2,0.0071,0.0049,NA,0.7422,13,16.64,2.54,95.59,79.99,2.73
OCTUBRE,10,3,0.0042,0.0048,NA,0.777,18,16.14,2.82,113.17,83.41,2.76
OCTUBRE,10,4,NA,0.0078,NA,0.82,29,15.38,2.1,126.44,85.97,2.80
OCTUBRE,10,5,NA,0.0069,NA,0.7762,21,14.86,2.22,123.48,88.46,2.81
OCTUBRE,10,6,NA,0.0062,NA,0.8559,27,14.45,2.06,122.01,90.21,2.79
OCTUBRE,10,7,NA,0.006,NA,0.8996,33,14.42,1.87,106.4,91.58,7.82
OCTUBRE,10,8,0.0059,0.0056,NA,0.9474,33,16.52,1.95,89.01,84.83,133.28
OCTUBRE,10,9,0.0140,0.0052,NA,0.8809,22,19.77,2.43,109.82,73.14,357.36
OCTUBRE,10,10,0.0277,0.005,NA,0.8501,19,22.73,1.89,167.2,63.39,540.69
OCTUBRE,10,11,0.0419,0.0059,NA,0.8467,21,25.41,2.18,247.08,53.81,702.50
OCTUBRE,10,12,0.0473,0.0052,NA,0.8172,19,26.04,2.26,250.98,49.80,629.39
OCTUBRE,10,13,0.0505,0.0049,NA,0.8358,11,27.18,2.92,259.53,43.67,698.86
OCTUBRE,10,14,0.0504,0.0046,NA,0.7937,15,27.88,2.81,252.21,40.08,808.54
OCTUBRE,10,15,0.0515,0.0044,NA,0.8025,13,29.12,2.69,246.45,36.04,759.61
OCTUBRE,10,16,0.0527,0.0041,NA,0.7539,13,29.46,2.55,237.51,33.58,565.24
OCTUBRE,10,17,0.0534,0.0039,NA,0.7498,17,28.53,2.44,234.23,35.01,364.70
OCTUBRE,10,18,0.0508,0.0039,NA,0.8114,23,27.07,3.08,242.04,38.74,151.74
OCTUBRE,10,19,0.0403,0.0039,0.0086,0.9868,28,24.66,2.38,224.33,46.54,10.34
OCTUBRE,10,20,0.0375,0.0038,NA,0.9748,35,22.5,2.71,225.2,56.89,2.34
OCTUBRE,10,21,0.0307,0.0037,NA,0.9097,32,20.85,2.87,192.44,66.15,2.54
OCTUBRE,10,22,0.0255,0.0036,NA,0.8844,25,19.71,1.76,163.27,71.23,2.46
OCTUBRE,10,23,0.0226,0.0039,NA,0.905,21,19.17,1.37,152.9,73.28,2.57
OCTUBRE,11,0,0.0184,0.004,NA,0.8284,23,18.75,1.25,221.2,75.18,2.60
OCTUBRE,11,1,0.0154,0.0038,NA,0.7974,32,17.98,1.35,213.21,78.44,2.59
OCTUBRE,11,2,0.0162,0.0038,NA,0.7398,16,17.13,1.34,217.61,81.91,2.68
OCTUBRE,11,3,0.0161,0.0037,NA,0.7115,NA,16.83,1.69,238.66,84.50,2.74
OCTUBRE,11,4,0.0139,0.0038,NA,0.7081,9,16.45,1.81,258.33,84.85,2.71
OCTUBRE,11,5,0.0128,0.0038,NA,0.7141,14,16.12,2.03,253.62,87.39,2.78
OCTUBRE,11,6,0.0094,0.0037,NA,0.7967,10,16.25,1.72,225.98,86.56,2.76
OCTUBRE,11,7,0.0048,0.0037,NA,0.9626,23,15.61,1.6,243.44,87.45,8.96
OCTUBRE,11,8,0.0067,0.0037,NA,1.0535,33,17.68,1.24,233.08,85.24,119.86
OCTUBRE,11,9,0.0163,0.0037,NA,0.9053,26,22.33,1.73,270.07,73.87,362.83
OCTUBRE,11,10,0.0266,0.0037,NA,0.7963,18,23.76,1.86,232.34,60.98,586.94
OCTUBRE,11,11,0.0350,0.0037,NA,0.7941,14,25.57,2.19,255.77,52.33,764.13
