DATOS MÓVILES 2019_DIF,,,,,,,,
,,,,,,,,
,,,,,,,,
MES,DIA,HORA,MO3,MSO2,MCO,NO2,MPM10,MPM2.5
SEP,16,1,17.26,4.52,0.359,1.55,22,10
SEP,16,2,14.87,4.56,0.367,0.95,23,10
SEP,16,3,13.66,4.62,0.374,0.57,23,10
SEP,16,4,14.04,4.82,0.365,0.30,23,10
SEP,16,5,14.40,5.09,0.353,0.30,24,10
SEP,16,6,13.98,5.25,0.363,0.30,24,10
SEP,16,7,13.25,5.30,0.385,0.30,24,10
SEP,16,8,12.58,5.27,0.416,0.30,23,10
SEP,16,9,13.23,5.27,0.429,0.68,24,10
SEP,16,10,15.95,5.29,0.422,0.30,23,10
SEP,16,11,18.08,5.26,0.418,0.30,23,11
SEP,16,12,20.23,5.50,0.406,0.49,22,11
SEP,16,13,22.92,5.68,0.384,1.36,22,10
SEP,16,14,26.75,5.76,0.344,2.16,21,10
SEP,16,15,29.61,5.87,0.289,3.19,20,10
SEP,16,16,33.37,6.01,0.245,3.61,20,10
SEP,16,17,NA,6.12,0.213,4.30,20,10
SEP,16,18,NA,6.10,NA,5.95,19,10
SEP,16,19,NA,6.08,NA,6.52,19,10
SEP,16,20,NA,6.51,NA,6.36,19,10
SEP,16,21,NA,7.00,NA,5.67,20,11
SEP,16,22,NA,7.66,NA,4.94,22,11
SEP,16,23,NA,7.72,NA,3.10,23,11
SEP,17,0,NA,7.75,NA,2.25,23,11
SEP,17,1,NA,7.83,NA,3.07,24,10
SEP,17,2,NA,7.82,NA,2.96,25,10
SEP,17,3,NA,7.96,NA,1.89,25,10
SEP,17,4,11.50,7.86,NA,1.70,26,10
SEP,17,5,7.88,7.81,NA,1.51,26,10
SEP,17,6,7.88,7.74,NA,3.23,27,10
SEP,17,7,7.88,7.81,NA,9.65,29,10
SEP,17,8,5.13,7.96,NA,13.32,32,10
SEP,17,9,9.07,8.03,NA,9.07,35,10
SEP,17,10,13.75,8.09,NA,5.32,37,10
SEP,17,11,20.86,8.21,0.324,3.31,38,9
SEP,17,12,28.68,8.09,0.324,2.91,39,9
SEP,17,13,37.66,7.79,0.333,3.72,40,10
SEP,17,14,40.44,7.54,0.359,3.17,41,10
SEP,17,15,42.87,7.24,0.348,1.91,42,10
SEP,17,16,49.54,7.06,0.307,0.84,42,10
SEP,17,17,53.75,6.87,0.271,0.30,43,11
SEP,17,18,56.00,6.90,0.249,0.30,45,10
SEP,17,19,55.33,6.81,0.257,1.41,47,10
SEP,17,20,53.01,6.30,0.248,4.82,46,10
SEP,17,21,49.80,6.81,0.220,3.04,45,10
SEP,17,22,47.30,6.52,0.206,3.09,43,10
