DATOS MÓVILES 2019_NATIVITAS,,,,,,
,,,,,,
,,,,,,
MES,DIA,HORA,MO3,MSO2,MCO,MPM10
ENE,24,22,28.83,NA,0.364,32
ENE,24,23,22.88,NA,0.466,31
ENE,25,0,17.76,NA,0.504,31
ENE,25,1,14.27,NA,0.559,31
ENE,25,2,11.00,NA,0.609,32
ENE,25,3,NA,NA,0.647,32
ENE,25,4,NA,NA,0.645,32
ENE,25,5,NA,NA,0.629,31
ENE,25,6,NA,NA,0.593,32
ENE,25,7,NA,NA,0.539,32
ENE,25,8,NA,NA,0.555,33
ENE,25,9,NA,NA,0.563,33
ENE,25,10,NA,NA,0.580,34
ENE,25,11,NA,NA,0.548,33
ENE,25,12,NA,NA,0.526,33
ENE,25,13,NA,NA,0.526,33
ENE,25,14,NA,NA,0.523,33
ENE,25,15,27.93,NA,0.468,33
ENE,25,16,29.21,NA,0.411,32
ENE,25,17,29.76,NA,0.352,32
ENE,25,18,32.92,NA,0.289,32
ENE,25,19,32.81,NA,0.298,32
ENE,25,20,29.92,NA,0.357,32
ENE,25,21,25.88,NA,0.389,32
ENE,25,22,22.72,NA,0.384,32
ENE,25,23,19.84,NA,0.406,32
ENE,26,0,15.72,NA,0.453,31
ENE,26,1,11.89,NA,0.569,30
ENE,26,2,9.13,NA,0.631,32
ENE,26,3,7.45,NA,0.634,32
ENE,26,4,NA,NA,0.588,31
ENE,26,5,NA,NA,0.550,31
ENE,26,6,NA,NA,0.550,30
ENE,26,7,NA,NA,0.563,30
ENE,26,8,NA,NA,0.573,30
ENE,26,9,NA,NA,0.498,29
ENE,26,10,NA,NA,0.468,28
ENE,26,11,NA,NA,0.466,28
ENE,26,12,NA,NA,0.446,28
ENE,26,13,NA,NA,0.430,28
ENE,26,14,17.56,NA,0.415,28
ENE,26,15,18.56,NA,0.380,28
ENE,26,16,19.36,NA,0.322,29
ENE,26,17,22.40,NA,0.274,30
ENE,26,18,24.60,NA,0.237,30
ENE,26,19,24.67,NA,0.214,31
ENE,26,20,23.10,NA,0.217,31
ENE,26,21,22.01,NA,0.220,30
ENE,26,22,20.21,NA,0.233,30
ENE,26,23,18.14,NA,0.258,29
ENE,27,0,16.80,NA,0.272,30
ENE,27,1,15.21,NA,0.278,29
ENE,27,2,13.03,NA,0.281,26
ENE,27,3,11.75,NA,0.276,25
ENE,27,4,11.26,NA,0.258,24
ENE,27,5,10.52,NA,0.252,24
ENE,27,6,10.26,NA,0.240,24
