DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_DIF 2021,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,
,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],PM2.5 Promedio ponderado  de 12 hrs.  [µg/m³],NO2 Horario [ppm]
ENE,7,9,0.0049,0.0041,0.0200,118,48,0.0202
ENE,7,10,0.0097,0.0049,0.0191,135,57,0.0188
ENE,7,11,0.0214,0.0072,0.0186,105,56,0.0107
ENE,7,12,0.0266,0.0098,0.0183,73,41,0.0087
ENE,7,13,0.0324,0.0131,0.0182,55,32,0.0089
ENE,7,14,0.0393,0.0175,0.0184,48,31,0.0079
ENE,7,15,0.0438,0.0226,0.0188,39,29,0.0075
ENE,7,16,0.0465,0.0281,0.0191,36,27,0.0063
ENE,7,17,0.0466,0.0333,0.0193,36,24,0.0064
ENE,7,18,0.0461,0.0378,0.0194,41,24,0.0061
ENE,7,19,0.0311,0.0391,0.0195,49,20,0.0137
ENE,7,20,0.0044,0.0363,0.0195,89,22,0.037
ENE,7,21,0.0048,0.0328,0.0197,151,37,0.0383
ENE,7,22,0.0031,0.0283,0.0198,164,53,0.0361
ENE,7,23,0.0049,0.0234,0.0199,164,54,0.0319
ENE,8,0,0.0038,0.0181,0.0200,154,60,0.0281
ENE,8,1,0.0052,0.0129,0.0200,129,58,0.024
ENE,8,2,0.0046,0.0077,0.0200,106,59,0.0228
ENE,8,3,0.0093,0.0050,0.0205,92,55,0.0168
ENE,8,4,0.0073,0.0054,0.0209,87,49,0.0191
ENE,8,5,0.0036,0.0052,0.0206,89,51,0.0223
ENE,8,6,0.0031,0.0052,0.0198,90,52,0.0221
ENE,8,7,0.0031,0.0050,0.0197,91,50,0.0218
ENE,8,8,0.0034,0.0050,0.0184,107,49,0.0206
ENE,8,9,0.0038,0.0048,0.0182,121,55,0.0214
ENE,8,10,0.0044,0.0048,0.0180,139,63,0.0241
ENE,8,11,0.0105,0.0049,0.0187,129,65,0.0223
ENE,8,12,0.0242,0.0070,0.0189,115,65,0.0184
ENE,8,13,0.0343,0.0109,0.0190,93,63,0.0106
ENE,8,14,0.0356,0.0149,0.0187,61,49,0.0051
ENE,8,15,0.0447,0.0201,0.0184,39,36,0.005
ENE,8,16,0.0458,0.0254,0.0180,31,30,0.0061
ENE,8,17,0.0433,0.0304,0.0177,32,25,0.0063
ENE,8,18,0.0431,0.0352,0.0176,34,19,0.0053
ENE,8,19,0.0299,0.0376,0.0175,44,20,0.0136
ENE,8,20,0.0051,0.0352,0.0174,79,22,0.0376
ENE,8,21,0.0042,0.0315,0.0172,120,29,0.0371
ENE,8,22,0.0079,0.0280,0.0171,122,36,0.0275
ENE,8,23,0.0176,0.0246,0.0170,110,39,0.0155
ENE,9,0,0.0151,0.0208,0.0169,84,32,0.0136
ENE,9,1,0.0102,0.0166,0.0169,83,32,0.0163
