DATOS HORARIOS 2018_DIF,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,PM2.5,WS,WD,TEMP,HR,PBAR,PM2.5
MZO,9,13,14.81,2.43,0.01,0.4,9.77,NA,3.49,270.32,22.31,30.31,622.67,NA
MZO,9,14,12.62,2.54,0.03,2.88,5.86,NA,4.01,265.19,22.82,25.1,621.8,NA
MZO,9,15,15.23,2.2,0.01,0.52,4.13,NA,4.68,260.37,24.45,20.62,621,NA
MZO,9,16,12.69,2.2,0.01,0.4,29.07,15.91,4.73,241.76,27.49,17.52,620.47,15.91
MZO,9,17,4.11,2.2,0.01,0.4,40.87,17.82,5.27,245.92,28.61,15.33,620.19,17.82
MZO,9,18,3.01,2.33,0.01,1.17,81.33,14.69,5.61,244.99,28.19,15.38,620.28,14.69
MZO,9,19,2.32,2.37,0.01,1.71,63.66,7.54,4.96,243.74,26.61,17.89,620.61,7.54
MZO,9,20,1.6,2.34,0.05,4.27,43.84,6.02,4.45,241.26,24.67,21.35,621.08,6.02
MZO,9,21,1.47,2.28,0.06,5.69,21.3,13.11,3.73,240.1,23.36,25.27,621.55,13.11
MZO,9,22,0.88,2.27,0.09,8.54,20.9,18.95,3.06,223.53,21.73,28.31,621.96,18.95
MZO,9,23,0.8,2.67,0.08,7.53,19.5,NA,1.95,260.54,20.32,31.73,622.32,NA
MZO,10,0,NA,2.34,0.1,7.66,17.82,NA,1.52,304.81,19.01,35.86,622.6,NA
MZO,10,1,NA,2.66,0.1,9.24,18.46,19.42,2.13,254.77,18.21,37.71,622.63,19.42
MZO,10,2,NA,2.28,0.06,6.27,20.67,20.16,2.35,245.27,17.56,38.59,622.57,20.16
MZO,10,3,NA,2.29,0.02,4.45,10.18,NA,2.48,244.96,16.58,40.19,622.56,NA
MZO,10,4,NA,2.32,0.01,4.85,13.92,NA,1.91,257.14,15.37,42.4,622.45,NA
MZO,10,5,NA,2.25,0.01,4.98,11.41,NA,1.07,287,14.51,45.57,622.53,NA
MZO,10,6,NA,2.38,0.01,5.88,13.92,NA,1.42,223.6,14.49,47.03,622.68,NA
MZO,10,7,NA,2.48,0.14,20.01,14.57,NA,1.17,164.1,14.54,49.7,622.95,NA
MZO,10,8,NA,2.92,0.39,42.46,20.23,NA,1.26,91.52,14.61,49.25,623.31,NA
MZO,10,9,NA,2.69,0.39,40.15,31.01,NA,1.14,197.82,18.24,38.88,623.7,NA
MZO,10,10,NA,2.3,0.27,21,18.58,NA,2.81,238.54,20.1,36.05,623.94,NA
MZO,10,11,NA,2.31,0.17,11.03,17.64,NA,2.19,276.78,22.06,32.56,623.91,NA
MZO,10,12,NA,2.2,0.12,5.04,11.73,NA,2.74,278.12,24.01,25.98,623.6,NA
MZO,10,13,NA,2.22,0.09,3.52,11.06,NA,3.25,256.2,25.63,22.45,622.74,NA
MZO,10,14,NA,2.2,0.08,2.62,5.65,NA,3.66,261.97,27.27,17.24,621.81,NA
MZO,10,15,NA,2.2,0.04,1.14,7.8,NA,3.16,274.13,28.55,13.82,620.96,NA
MZO,10,16,NA,2.29,0.01,0.4,5.29,NA,2.86,277.12,29.44,12.47,620.23,NA
MZO,10,17,NA,2.3,0.01,1.09,8.98,5.55,3.07,256.77,29.93,12.04,619.83,5.55
MZO,10,18,NA,2.33,0.05,2.28,17.36,8.04,3.46,239.86,29.55,14.33,619.77,8.04
MZO,10,19,NA,2.35,0.07,3.71,18.88,10.93,3.24,223.42,28.14,13.94,620.01,10.93
MZO,10,20,NA,2.35,0.15,9.58,23.81,13,2.52,228.76,25.78,15.03,620.37,13
MZO,10,21,NA,2.41,0.19,10.75,22.33,11.86,2.71,226.23,23.78,19.13,620.87,11.86
MZO,10,22,NA,2.36,0.2,12.22,18.92,NA,1.48,263.55,22.68,19.8,621.12,NA
